ENSG_id	logFC	adj_pval	gene
ENSG00000268946	-0.12005	1.0	ATRX
ENSG00000070814	-0.0582666666667	1.0	TCOF1
ENSG00000126653	0.153	1.0	NSRP1
ENSG00000157837	-0.00481571428572	1.0	SPPL3
ENSG00000125741	0.0772666666667	1.0	OPA3
ENSG00000198836	0.0021775	1.0	OPA1
ENSG00000077943	-0.033575	1.0	ITGA8
ENSG00000144668	-0.038925	1.0	ITGA9
ENSG00000213949	-0.00598333333333	1.0	ITGA1
ENSG00000164171	0.0425	1.0	ITGA2
ENSG00000005884	0.0617	1.0	ITGA3
ENSG00000115232	0.00255	1.0	ITGA4
ENSG00000161638	0.0467	1.0	ITGA5
ENSG00000091409	-0.108915	1.0	ITGA6
ENSG00000135424	0.0043	1.0	ITGA7
ENSG00000174417	-2.22e-15	1.0	TRHR
ENSG00000176125	-0.0574	1.0	UFSP1
ENSG00000109775	-0.016	1.0	UFSP2
ENSG00000185614	-1.78e-15	1.0	FAM212A
ENSG00000154080	-8.87e-16	1.0	CHST9
ENSG00000124302	0.182	1.0	CHST8
ENSG00000175264	0.1445	1.0	CHST1
ENSG00000122863	-0.108666666667	1.0	CHST3
ENSG00000175040	-0.0224	1.0	CHST2
ENSG00000135702	-4.44e-16	1.0	CHST5
ENSG00000140835	0.0443	1.0	CHST4
ENSG00000147119	0.0537	1.0	CHST7
ENSG00000183196	-0.128	1.0	CHST6
ENSG00000140678	-0.00305	1.0	ITGAX
ENSG00000140379	-5.33e-15	1.0	BCL2A1
ENSG00000138448	-0.0397	1.0	ITGAV
ENSG00000005844	-0.00985	1.0	ITGAL
ENSG00000169896	0.03505	1.0	ITGAM
ENSG00000156886	-2.66e-15	1.0	ITGAD
ENSG00000083457	-0.573	0.4201	ITGAE
ENSG00000197081	-0.0119	1.0	IGF2R
ENSG00000180773	-0.1115	1.0	SLC36A4
ENSG00000268942	-0.0518	1.0	CKS1B
ENSG00000123643	-0.00267	1.0	SLC36A1
ENSG00000117407	0.008	1.0	ARTN
ENSG00000129744	0.000566666666667	1.0	ART1
ENSG00000156219	0.0935	1.0	ART3
ENSG00000167311	0.0756	1.0	ART5
ENSG00000111339	0.0565	1.0	ART4
ENSG00000109943	-4.44e-16	1.0	CRTAM
ENSG00000081803	0.0643	1.0	CADPS2
ENSG00000117000	-0.015	1.0	RLF
ENSG00000170275	-0.075246	1.0	CRTAP
ENSG00000113742	-0.042125	1.0	CPEB4
ENSG00000214575	0.0709	1.0	CPEB1
ENSG00000107864	0.1031	1.0	CPEB3
ENSG00000137449	0.184333333333	1.0	CPEB2
ENSG00000068784	0.0223	1.0	SRBD1
ENSG00000183044	-0.0556666666667	1.0	ABAT
ENSG00000212993	0.136	1.0	POU5F1B
ENSG00000165462	-0.171	0.8182	PHOX2A
ENSG00000109132	-0.0719	1.0	PHOX2B
ENSG00000110375	0.000406	1.0	UPK2
ENSG00000000971	0.241	1.0	CFH
