ENSG_id	logFC	adj_pval	gene
ENSG00000268946	0.2844349475	0.81938	ATRX
ENSG00000070814	-0.25103684	0.75725	TCOF1
ENSG00000126653	-0.10460573	0.82786	NSRP1
ENSG00000157837	-0.04283791	0.87256	SPPL3
ENSG00000125741	-0.341303233333	0.84106	OPA3
ENSG00000198836	-0.392900895	0.79914	OPA1
ENSG00000077943	0.38104971	0.96871	ITGA8
ENSG00000144668	-0.023423605	0.89599	ITGA9
ENSG00000213949	-0.299916033333	0.91477	ITGA1
ENSG00000164171	0.38561336	0.32526	ITGA2
ENSG00000005884	-0.21634884	0.71874	ITGA3
ENSG00000115232	-0.659552765	0.37736	ITGA4
ENSG00000161638	0.20299659	0.50974	ITGA5
ENSG00000091409	-1.271281745	0.40627	ITGA6
ENSG00000135424	0.100855435	0.36885	ITGA7
ENSG00000174417	-0.01814566	0.95347	TRHR
ENSG00000176125	-0.06251493	0.9009	UFSP1
ENSG00000109775	-0.21059404	0.37834	UFSP2
ENSG00000185614	-0.28447273	0.53378	FAM212A
ENSG00000154080	0.046869755	0.8449	CHST9
ENSG00000124302	-0.07555479	0.70781	CHST8
ENSG00000175264	-0.189385515	0.72274	CHST1
ENSG00000122863	-0.38937939	0.45021	CHST3
ENSG00000175040	0.0252741	0.79597	CHST2
ENSG00000135702	0.19453612	0.74902	CHST5
ENSG00000140835	-0.27740754	0.33105	CHST4
ENSG00000147119	-0.27977914	0.35064	CHST7
ENSG00000183196	0.11097788	0.6557	CHST6
ENSG00000140678	0.07563236	0.75223	ITGAX
ENSG00000140379	-0.5541677	0.34477	BCL2A1
ENSG00000138448	-0.17415488	0.48241	ITGAV
ENSG00000005844	0.06533003	0.67452	ITGAL
ENSG00000169896	-0.12271994	0.75596	ITGAM
ENSG00000156886	0.09599577	0.62183	ITGAD
ENSG00000083457	-0.64636037	0.33507	ITGAE
ENSG00000197081	-0.33643341	0.52902	IGF2R
ENSG00000180773	-0.00284806	0.78363	SLC36A4
ENSG00000268942	-0.68968055	0.42578	CKS1B
ENSG00000123643	-0.09712184	0.79752	SLC36A1
ENSG00000117407	0.00818620666667	0.86059	ARTN
ENSG00000129744	-0.00962753333333	0.99877	ART1
ENSG00000156219	-0.01584118	0.95374	ART3
ENSG00000167311	0.07416726	0.75296	ART5
ENSG00000111339	0.14678115	0.52443	ART4
ENSG00000109943	-0.01460762	0.95209	CRTAM
ENSG00000081803	-0.39904286	0.3072	CADPS2
ENSG00000117000	-0.2425518	0.4191	RLF
ENSG00000170275	0.133117918	0.97473	CRTAP
ENSG00000113742	-0.6661104175	0.43235	CPEB4
ENSG00000214575	-0.342706665	0.62084	CPEB1
ENSG00000107864	-0.0759336775	0.99988	CPEB3
ENSG00000137449	-0.375985826667	0.80856	CPEB2
ENSG00000068784	-0.45159679	0.43432	SRBD1
ENSG00000183044	-0.180229513333	0.57131	ABAT
ENSG00000212993	-0.11628655	0.54575	POU5F1B
ENSG00000165462	0.14368269	0.59274	PHOX2A
ENSG00000109132	-0.04564221	0.88628	PHOX2B
ENSG00000110375	0.26186702	0.40226	UPK2
ENSG00000000971	0.46210343	0.48695	CFH
ENSG00000205403	-0.09822646	0.99778	CFI
ENSG00000185722	-0.24514292	0.7588	ANKFY1
ENSG00000243570	0.11215786	0.62484	CFB
ENSG00000126759	0.07408427	0.67243	CFP
ENSG00000094914	-0.41961656	0.34293	AAAS
ENSG00000072858	-0.05814552	0.79275	SIDT1
ENSG00000149577	-0.3460303	0.47816	SIDT2
ENSG00000103591	-0.102735926667	0.85672	AAGAB
ENSG00000154274	0.004045725	0.97635	C4orf19
ENSG00000138813	0.09715151	0.72775	C4orf17
ENSG00000164163	-0.692918895	0.33992	ABCE1
ENSG00000152926	-0.043620835	0.92723	ZNF117
ENSG00000178150	-0.07701753	0.98297	ZNF114
ENSG00000062370	-0.27282032	0.41021	ZNF112
ENSG00000100095	-0.117166131667	0.86622	SEZ6L
ENSG00000114302	-0.51115308	0.97188	PRKAR2A
ENSG00000005249	-0.97703465	0.29469	PRKAR2B
ENSG00000269639	-0.60979379	0.30573	MAGT1
ENSG00000253304	0.41941346	0.35372	TMEM200B
ENSG00000005961	0.10159419	0.83262	ITGA2B
ENSG00000204138	-0.60484164	0.46305	PHACTR4
ENSG00000169992	0.00671872666667	0.83924	NLGN2
ENSG00000171133	-0.061526695	0.77528	OR2K2
ENSG00000087495	0.08230387	0.73066	PHACTR3
ENSG00000112419	-0.690459948	0.30006	PHACTR2
ENSG00000212725	0.04021355	0.84626	KRTAP2-1
ENSG00000137757	-0.01358568	0.95161	CASP5
ENSG00000164305	-0.70901962	0.28771	CASP3
ENSG00000062716	0.65242289	0.43871	VMP1
ENSG00000174738	-0.40432606	0.37288	NR1D2
ENSG00000060491	-0.3271023575	0.52875	OGFR
ENSG00000117425	-0.01138655	0.96747	PTCH2
ENSG00000185920	-0.300644922	0.76315	PTCH1
ENSG00000104980	-0.43710227	0.33206	TIMM44
ENSG00000151164	-0.09114763	0.66661	RAD9B
ENSG00000172613	-0.57646046	0.43779	RAD9A
ENSG00000087502	-0.44547126	0.32002	ERGIC2
ENSG00000125991	0.0260159533333	0.53016	ERGIC3
ENSG00000113719	0.12510928	0.91993	ERGIC1
ENSG00000149541	-0.35702996	0.34043	B3GAT3
ENSG00000112309	-0.05041584	0.92184	B3GAT2
ENSG00000109956	-0.19040181	0.57986	B3GAT1
ENSG00000197557	-0.36470733	0.32887	TTC30A
ENSG00000090487	-0.25759066	0.41557	SPG21
ENSG00000133104	-0.23237096	0.93675	SPG20
ENSG00000073605	-0.0179505433333	0.95311	GSDMB
ENSG00000147697	-0.29386655	0.43186	GSDMC
ENSG00000104518	-0.52785662	0.32817	GSDMD
ENSG00000105668	0.34100657	0.30515	UPK1A
ENSG00000114638	-0.3133573	0.59735	UPK1B
ENSG00000198010	0.07542898	0.95603	DLGAP2
ENSG00000116544	-0.1782423	0.56689	DLGAP3
ENSG00000170579	-0.00972414142857	0.89912	DLGAP1
ENSG00000269562	0.0788506066667	0.97315	DLGAP4
ENSG00000126787	-2.01096479	0.34296	DLGAP5
ENSG00000111012	0.06911413	0.83508	CYP27B1
ENSG00000104147	-0.97210507	0.48422	OIP5
ENSG00000198780	-0.208039205	0.44438	FAM169A
ENSG00000072135	-0.195017206667	0.85877	PTPN18
ENSG00000163629	-0.256510635	0.57423	PTPN13
ENSG00000127947	-0.250844506667	0.96723	PTPN12
ENSG00000179295	-0.322699716667	0.73669	PTPN11
ENSG00000152104	-0.42507806	0.81763	PTPN14
ENSG00000145220	-0.32539582	0.58946	LYAR
ENSG00000159239	0.04595291	0.82876	C2orf81
ENSG00000188674	-0.09887685	0.53757	C2orf80
ENSG00000143006	-0.05900304	0.87278	DMRTB1
ENSG00000182600	-0.09909	0.9537	C2orf82
ENSG00000187699	0.00299756	0.93939	C2orf88
ENSG00000007255	0.02294149	0.97648	TRAPPC6A
ENSG00000170476	-0.0521574	0.39142	MZB1
ENSG00000123374	-0.67278087	0.4307	CDK2
ENSG00000231286	0.162590993333	0.90302	HLA-DQB1
ENSG00000263639	0.02094524	0.71432	MSMB
ENSG00000228254	0.20147697	0.3619	HLA-DQB2
ENSG00000179772	0.23662646	0.35621	FOXS1
ENSG00000136807	-0.260252566667	0.99466	CDK9
ENSG00000110931	-0.0869089	0.72846	CAMKK2
ENSG00000004660	-0.088302165	0.86576	CAMKK1
ENSG00000165502	-0.1751625	0.64337	RPL36AL
ENSG00000147457	-0.51804999	0.30156	CHMP7
ENSG00000176108	-0.32239856	0.38001	CHMP6
ENSG00000086065	-0.124142995	0.77097	CHMP5
ENSG00000228250	-0.04374728	0.89269	LY6G6C
ENSG00000106031	-0.0400777633333	0.47123	HOXA13
ENSG00000235769	-0.02783197	0.93062	LY6G6E
ENSG00000005073	-0.5058616	0.83082	HOXA11
ENSG00000253293	-0.211480115	0.85633	HOXA10
ENSG00000106648	0.01612704	0.94555	GALNTL5
ENSG00000174473	-0.0378162	0.86332	GALNTL6
ENSG00000182591	-0.16056087	0.72158	KRTAP11-1
ENSG00000139372	-0.41417648	0.33109	TDG
ENSG00000189159	-0.76885705	0.42517	HN1
ENSG00000148814	-0.054491805	0.98869	LRRC27
ENSG00000163507	-1.31509604	0.33317	KIAA1524
ENSG00000162522	-0.14357111	0.57108	KIAA1522
ENSG00000129255	-0.26809077	0.89435	MPDU1
ENSG00000172731	-0.45809844	0.365	LRRC20
