ENSG_id	logFC	adj_pval	gene
ENSG00000160714	-0.0359	1.0	UBE2Q1
ENSG00000140254	0.0651	1.0	DUOXA1
ENSG00000140367	0.129	1.0	UBE2Q2
ENSG00000022840	-0.0837	1.0	RNF10
ENSG00000123091	0.286	1.0	RNF11
ENSG00000082996	0.0694	1.0	RNF13
ENSG00000088320	0.259	1.0	REM1
ENSG00000139890	-0.000905	1.0	REM2
ENSG00000136718	-0.0243	1.0	IMP4
ENSG00000112337	-0.0313	1.0	SLC17A2
ENSG00000106245	0.166	1.0	BUD31
ENSG00000235376	-0.0043	1.0	RPEL1
ENSG00000170509	-0.00158	1.0	HSD17B13
ENSG00000196814	0.136	1.0	MVB12B
ENSG00000132972	0.0826	1.0	RNF17
ENSG00000173272	-0.244	1.0	MZT2A
ENSG00000126467	-0.138	1.0	TSKS
ENSG00000124479	-0.115	1.0	NDP
ENSG00000140650	-0.116	1.0	PMM2
ENSG00000100417	-0.37	1.0	PMM1
ENSG00000130707	-0.56	1.0	ASS1
ENSG00000147509	-0.0079	1.0	RGS20
ENSG00000136937	-0.0691	1.0	NCBP1
ENSG00000196826	-0.279	1.0	ZNF709
ENSG00000141971	-0.14	1.0	MVB12A
ENSG00000234284	0.133	1.0	ZNF879
ENSG00000122565	-0.066	1.0	CBX3
ENSG00000163064	0.312	1.0	EN1
ENSG00000183779	0.361	1.0	ZNF703
ENSG00000116096	-0.329	1.0	SPR
ENSG00000196757	-0.066	1.0	ZNF700
ENSG00000261516	0.129	1.0	ZNF707
ENSG00000152495	-0.153	1.0	CAMK4
ENSG00000164684	-0.4	1.0	ZNF704
ENSG00000135482	-0.105	1.0	ZC3H10
ENSG00000124226	0.245	1.0	RNF114
ENSG00000265491	-0.171	1.0	RNF115
ENSG00000128482	-0.24	1.0	RNF112
ENSG00000100722	0.0357	1.0	ZC3H14
ENSG00000197471	-0.0967	1.0	SPN
ENSG00000146151	0.36	1.0	HMGCLL1
ENSG00000162951	-0.0103	1.0	LRRTM1
ENSG00000176884	0.156	1.0	GRIN1
ENSG00000164651	0.136	1.0	SP8
ENSG00000135829	-0.207	1.0	DHX9
ENSG00000173894	0.21	1.0	CBX2
ENSG00000126653	-0.0586	1.0	NSRP1
ENSG00000110713	0.0328	1.0	NUP98
ENSG00000154767	0.0376	1.0	XPC
ENSG00000064651	0.0878	1.0	SLC12A2
ENSG00000178719	-0.256	1.0	GRINA
ENSG00000272939	0.256	1.0	CEACAM6
ENSG00000105866	0.0875	1.0	SP4
ENSG00000204335	0.292	1.0	SP5
ENSG00000189120	0.331	1.0	SP6
ENSG00000164076	-0.802	1.0	CAMKV
ENSG00000184292	0.234	1.0	TACSTD2
ENSG00000173905	0.481	1.0	GOLIM4
ENSG00000197562	0.0509	1.0	RAB40C
ENSG00000141542	0.245	1.0	RAB40B
