ENSG_id	logFC	adj_pval	gene
ENSG00000268946	-0.30725	0.9237903	ATRX
ENSG00000070814	-0.0363333333333	0.6809999	TCOF1
ENSG00000126653	-0.119	0.8823188	NSRP1
ENSG00000157837	0.0770285714286	0.9803374	SPPL3
ENSG00000125741	-0.00156666666667	0.9640511	OPA3
ENSG00000198836	0.0274925	0.9981867	OPA1
ENSG00000077943	0.051625	0.9657059	ITGA8
ENSG00000144668	0.075025	0.9822899	ITGA9
ENSG00000213949	0.101866666667	0.9940189	ITGA1
ENSG00000164171	-0.625	0.1254153	ITGA2
ENSG00000005884	-0.351	0.2673825	ITGA3
ENSG00000115232	-0.20475	0.988712	ITGA4
ENSG00000161638	-0.0825	0.8151996	ITGA5
ENSG00000091409	-0.3545	0.4297211	ITGA6
ENSG00000135424	-0.109	0.7709538	ITGA7
ENSG00000174417	-0.211	0.600026	TRHR
ENSG00000176125	-0.05	0.9051883	UFSP1
ENSG00000109775	-0.0551	0.8993218	UFSP2
ENSG00000185614	0.198	0.5345147	FAM212A
ENSG00000154080	-0.0763	0.8961608	CHST9
ENSG00000124302	0.047	0.9050606	CHST8
ENSG00000175264	0.0472	0.9759945	CHST1
ENSG00000122863	-0.031	0.974866	CHST3
ENSG00000175040	-0.0625	0.3488459	CHST2
ENSG00000135702	0.02915	0.9346641	CHST5
ENSG00000140835	0.0733	0.8133195	CHST4
ENSG00000147119	-0.206	0.4467303	CHST7
ENSG00000183196	-0.255	0.3137382	CHST6
ENSG00000140678	0.07805	0.9106277	ITGAX
ENSG00000140379	0.0656	0.8563209	BCL2A1
ENSG00000138448	0.275	0.436352	ITGAV
ENSG00000005844	-0.11825	0.7817066	ITGAL
ENSG00000169896	-0.08185	0.9671109	ITGAM
ENSG00000156886	0.108	0.7429122	ITGAD
ENSG00000172301	-0.00681	0.9914511	COPRS
ENSG00000197081	0.0602666666667	0.9485485	IGF2R
ENSG00000180773	-0.21785	0.8827805	SLC36A4
ENSG00000268942	-0.23	0.341879	CKS1B
ENSG00000123643	0.2077	0.9825042	SLC36A1
ENSG00000117407	-0.324	0.58915	ARTN
ENSG00000129744	-0.1166	0.9558219	ART1
ENSG00000156219	0.122	0.6872416	ART3
ENSG00000167311	-0.111	0.7247969	ART5
ENSG00000111339	0.0332	0.9484349	ART4
ENSG00000109943	0.785	0.0218208	CRTAM
ENSG00000081803	0.306	0.293908	CADPS2
ENSG00000117000	0.0386	0.9398833	RLF
ENSG00000170275	-0.2923	0.9814037	CRTAP
ENSG00000159322	-0.4505	0.1614846	ADPGK
ENSG00000113742	0.02765	0.9715844	CPEB4
ENSG00000214575	0.1994	0.9558219	CPEB1
ENSG00000107864	0.1788225	0.9876085	CPEB3
ENSG00000164764	0.0378666666667	0.9827963	SBSPON
ENSG00000068784	-0.115	0.7803748	SRBD1
ENSG00000183044	0.376666666667	0.3004214	ABAT
ENSG00000212993	0.187	0.4405294	POU5F1B
ENSG00000165462	-0.0955	0.760559	PHOX2A
ENSG00000109132	-0.0913	0.8021732	PHOX2B
ENSG00000158077	0.0927	0.7638031	NLRP14
ENSG00000110375	0.123	0.6489635	UPK2
ENSG00000000971	0.416	0.1345033	CFH
ENSG00000205403	0.0027	0.8104568	CFI
ENSG00000197766	-0.301	0.3445523	CFD
ENSG00000243570	0.0789	0.8416718	CFB
ENSG00000126759	-0.00914	0.9881328	CFP
ENSG00000094914	-0.124	0.7191851	AAAS
ENSG00000072858	-0.0819	0.8361443	SIDT1
ENSG00000149577	0.102175	0.9895598	SIDT2
ENSG00000103591	-0.0330013333333	1.0	AAGAB
ENSG00000154274	-0.08445	0.9253291	C4orf19
ENSG00000138813	0.229	0.3362203	C4orf17
ENSG00000164163	0.1319	0.8053758	ABCE1
ENSG00000152926	0.15055	0.9660153	ZNF117
ENSG00000178150	0.505	0.1014634	ZNF114
ENSG00000062370	-0.0767	0.8260095	ZNF112
ENSG00000100095	0.0296666666667	0.9823221	SEZ6L
ENSG00000114302	0.04232	0.982133	PRKAR2A
ENSG00000005249	0.066	0.9019471	PRKAR2B
ENSG00000269639	-0.102666666667	0.4861889	MAGT1
ENSG00000253304	-0.547	0.0494662	TMEM200B
ENSG00000005961	-0.01869	0.9896958	ITGA2B
ENSG00000204138	-0.276	0.6947699	PHACTR4
ENSG00000112137	-0.0649366666667	0.9896958	PHACTR1
ENSG00000196338	-0.010501	1.0	NLGN3
ENSG00000087495	0.798	0.0276924	PHACTR3
ENSG00000112419	0.078	0.7911434	PHACTR2
ENSG00000212725	0.09	0.7585912	KRTAP2-1
ENSG00000062716	0.154	0.8002689	VMP1
ENSG00000174738	0.1397	0.9751338	NR1D2
ENSG00000060491	0.00955	0.9514952	OGFR
ENSG00000117425	0.138	0.7288963	PTCH2
ENSG00000185920	-0.00294	0.970344	PTCH1
ENSG00000104980	-0.1655	0.623112	TIMM44
ENSG00000151164	-0.06742	0.9927126	RAD9B
ENSG00000172613	-0.168	0.5861483	RAD9A
ENSG00000087502	0.077425	0.8515736	ERGIC2
ENSG00000125991	-0.0967333333333	0.9333692	ERGIC3
ENSG00000113719	-0.07065	0.9797816	ERGIC1
ENSG00000149541	-0.1415	0.7936959	B3GAT3
ENSG00000112309	0.162	0.7896927	B3GAT2
ENSG00000109956	0.0086	0.9879935	B3GAT1
ENSG00000197557	0.0161	0.9856938	TTC30A
ENSG00000196659	-0.1569	0.9133462	TTC30B
ENSG00000198668	0.711	0.0645399	CALM1
ENSG00000073605	0.122466666667	0.9754233	GSDMB
ENSG00000147697	0.226	0.3401202	GSDMC
ENSG00000104518	-0.131	0.7057982	GSDMD
ENSG00000105668	0.0783	0.8178443	UPK1A
ENSG00000114638	2.6	0.001244	UPK1B
ENSG00000198010	0.11945	0.8884841	DLGAP2
ENSG00000116544	0.0285	0.9479291	DLGAP3
ENSG00000170579	0.00408714285714	0.9954528	DLGAP1
ENSG00000269562	0.0917666666667	0.9708037	DLGAP4
ENSG00000126787	-0.0993	0.8524465	DLGAP5
ENSG00000111012	-0.0609	0.8526462	CYP27B1
ENSG00000104147	-0.138	0.6381925	OIP5
ENSG00000099364	0.0417	0.9344897	FBXL19
ENSG00000072135	-0.0435633333333	1.0	PTPN18
ENSG00000163629	0.09155	0.9809534	PTPN13
ENSG00000127947	0.0713333333333	0.8342741	PTPN12
ENSG00000179295	-0.164116666667	0.9628256	PTPN11
ENSG00000152104	-0.1925	0.7814984	PTPN14
ENSG00000145220	0.1191	0.9683073	LYAR
ENSG00000159239	-0.0665	0.8362178	C2orf81
ENSG00000188674	0.0228	0.9598353	C2orf80
ENSG00000042304	0.152	0.7461507	C2orf83
ENSG00000182600	0.1546	0.895332	C2orf82
ENSG00000187699	0.003685	0.9997969	C2orf88
ENSG00000170312	-0.330325	0.8339588	CDK1
ENSG00000170476	-0.06515	0.8725442	MZB1
ENSG00000182400	0.112	0.6942619	TRAPPC6B
ENSG00000231286	0.0714333333333	0.817924	HLA-DQB1
ENSG00000263639	-0.01525	0.8288045	MSMB
ENSG00000228254	0.0	1.0	HLA-DQB2
ENSG00000179772	0.102	0.7231696	FOXS1
ENSG00000187664	0.0758	0.8351114	HAPLN4
ENSG00000110931	-0.071075	0.9339614	CAMKK2
ENSG00000004660	0.07635	0.9185138	CAMKK1
ENSG00000165502	0.0812	0.8002242	RPL36AL
ENSG00000147457	0.174	0.5322752	CHMP7
ENSG00000176108	-0.113	0.6644276	CHMP6
ENSG00000086065	0.069	0.6956899	CHMP5
ENSG00000228250	1.74	0.0058391	LY6G6C
ENSG00000106031	0.0232666666667	0.9710998	HOXA13
ENSG00000235769	0.000275	1.0	LY6G6E
ENSG00000005073	0.361	0.6675904	HOXA11
ENSG00000253293	0.091	0.9949007	HOXA10
ENSG00000106648	0.0601	0.8719158	GALNTL5
ENSG00000174473	0.235	0.4095011	GALNTL6
ENSG00000182591	-0.153	0.6153157	KRTAP11-1
ENSG00000139372	0.481	0.1576484	TDG
ENSG00000189159	-0.12505	0.9614672	HN1
ENSG00000148814	-0.085875	0.9177243	LRRC27
ENSG00000163507	-0.1619	0.9688449	KIAA1524
ENSG00000162522	-0.181	0.5878873	KIAA1522
ENSG00000129255	-0.29815	0.8945301	MPDU1
ENSG00000172731	-0.228	0.3960224	LRRC20
ENSG00000125122	0.0762	0.8911092	LRRC29
ENSG00000168904	-0.22355	0.9666406	LRRC28
ENSG00000176928	-0.0234	0.9594716	GCNT4
ENSG00000124091	0.07885	0.8699147	GCNT7
ENSG00000187210	-0.0736	0.9830995	GCNT1
ENSG00000140297	0.0867	0.7691611	GCNT3
ENSG00000111846	0.3705	0.8845255	GCNT2
ENSG00000176454	0.1423	0.9911796	LPCAT4
ENSG00000087253	-0.123125	0.9507798	LPCAT2
ENSG00000268829	-0.1455	0.4500618	LPCAT3
ENSG00000153395	-0.122	0.6753009	LPCAT1
ENSG00000149591	-0.495	0.633591	TAGLN
ENSG00000166960	0.0494	0.9553482	CCDC178
ENSG00000008226	0.0859666666667	0.957917	DLEC1
ENSG00000163283	0.037	0.9293078	ALPP
ENSG00000120262	-0.0753	0.7990673	CCDC170
ENSG00000164989	0.0557571428571	0.9086505	CCDC171
ENSG00000182645	-0.115	0.6995437	CCDC172
ENSG00000154479	-0.0058	0.9969549	CCDC173
ENSG00000154781	-0.0196666666667	0.982934	CCDC174
ENSG00000267909	0.0511	0.8753771	CCDC177
ENSG00000152256	-0.125966666667	0.8244706	PDK1
ENSG00000067992	-0.275786	0.9886989	PDK3
ENSG00000005882	-0.01	0.592859	PDK2
ENSG00000268394	-0.011775	0.9591425	EBP
ENSG00000004799	0.1121	0.9399484	PDK4
ENSG00000113441	-0.06126	0.9673868	LNPEP
ENSG00000163295	0.1095	0.833693	ALPI
ENSG00000058262	-0.1431	0.8824149	SEC61A1
ENSG00000065665	0.208	0.8608547	SEC61A2
ENSG00000162551	-0.09085	0.9875074	ALPL
ENSG00000115425	-0.2708	0.986687	PECR
ENSG00000231171	0.0596	0.8772334	LINC01098
ENSG00000175197	-0.000701	1.0	DDIT3
ENSG00000168209	0.119	0.6970003	DDIT4
ENSG00000232653	-0.0235	0.977278	GOLGA8N
ENSG00000175265	0.33	0.4700361	GOLGA8A
ENSG00000154928	-0.154386666667	0.9896958	EPHB1
ENSG00000110536	-0.1593985	1.0	PTPMT1
ENSG00000226124	-0.2945	0.5455115	FTCDNL1
ENSG00000182853	0.1704	0.9646387	VMO1
ENSG00000165629	-0.123525	0.8196928	ATP5C1
ENSG00000119655	-0.474	0.0692429	NPC2
ENSG00000141458	-0.170764	1.0	NPC1
ENSG00000181744	-0.0889333333333	0.925142	C3orf58
ENSG00000118873	0.152	0.7521203	RAB3GAP2
ENSG00000180535	-0.0879	0.7817066	BHLHA15
ENSG00000115839	-0.06755	0.9168373	RAB3GAP1
ENSG00000114529	-0.1645	0.8133195	C3orf52
ENSG00000214324	-0.00889	0.9937231	C3orf56
ENSG00000173402	0.03499	0.9854533	DAG1
ENSG00000105755	0.0394	0.9297613	ETHE1
ENSG00000100359	0.0732666666667	0.9688535	SGSM3
ENSG00000004487	-0.0986	0.7385241	KDM1A
ENSG00000165097	-0.23205	0.9660153	KDM1B
ENSG00000158869	0.1665	0.7303728	FCER1G
ENSG00000137707	-0.0969	0.9605062	BTG4
ENSG00000154640	-0.157225	0.9310566	BTG3
ENSG00000159388	0.4425	0.8194331	BTG2
ENSG00000133639	0.340333333333	0.253579	BTG1
ENSG00000128039	-0.131533333333	0.9085376	SRD5A3
ENSG00000145545	0.348	0.7169612	SRD5A1
ENSG00000100083	0.12588	0.9958356	GGA1
ENSG00000125447	-0.219	0.6556102	GGA3
ENSG00000103365	-0.1542125	0.9234432	GGA2
ENSG00000135723	0.0333	0.9420353	FHOD1
ENSG00000134775	0.477	0.0712061	FHOD3
ENSG00000198835	0.0478	0.9438169	GJC2
ENSG00000164096	0.37	0.5217291	C4orf3
ENSG00000182963	-0.431	0.5443279	GJC1
ENSG00000240508	0.258	0.3433496	PSMB9
ENSG00000226201	0.168	0.6017739	PSMB8
ENSG00000138134	-0.1867	0.8119399	STAMBPL1
ENSG00000142507	-0.0671	0.8477058	PSMB6
ENSG00000100804	0.143	0.5865782	PSMB5
ENSG00000159377	0.2823	0.79258	PSMB4
ENSG00000108294	-0.107	0.73887	PSMB3
ENSG00000126067	-0.028275	0.9445653	PSMB2
ENSG00000008018	0.1076	0.8267573	PSMB1
ENSG00000139636	-0.108	0.8127612	LMBR1L
ENSG00000198862	-0.139278333333	1.0	LTN1
ENSG00000179046	0.459	0.091178	TRIML2
ENSG00000148362	0.0389	0.9365434	C9orf142
ENSG00000184108	-0.0551	0.9076348	TRIML1
ENSG00000148411	-0.08655	0.8700743	NACC2
ENSG00000048707	0.01594	0.9712634	VPS13D
ENSG00000160877	0.1935	0.4888196	NACC1
ENSG00000197969	-0.0859166666667	0.9568403	VPS13A
ENSG00000147010	-0.0863333333333	0.6796234	SH3KBP1
ENSG00000129003	0.1316	0.9717039	VPS13C
ENSG00000132549	0.0747	0.8282521	VPS13B
ENSG00000269503	-0.0679	0.8376171	BEX5
ENSG00000102409	-1.24	0.0064032	BEX4
ENSG00000133134	-0.502	0.1352422	BEX2
ENSG00000133169	-0.469	0.0895535	BEX1
ENSG00000130748	-0.165	0.6077979	TMEM160
ENSG00000152128	-0.02825	0.8466828	TMEM163
ENSG00000134851	-0.158406666667	0.9910882	TMEM165
ENSG00000139445	0.1065	0.9797498	FOXN4
ENSG00000146802	0.0029	0.9630438	TMEM168
ENSG00000185862	0.188	0.5282713	EVI2B
ENSG00000264253	0.9275	0.7135352	FOXN1
ENSG00000170802	0.10005	0.8339244	FOXN2
ENSG00000053254	-0.0001125	0.9129786	FOXN3
ENSG00000145029	-0.347	0.3091634	NICN1
ENSG00000187955	-0.0251475	0.9999847	COL14A1
ENSG00000230705	0.276	0.3172076	TAP1
ENSG00000237599	0.02515	0.8614806	TAP2
ENSG00000065609	0.0472	0.9442094	SNAP91
ENSG00000211450	-0.0357033333333	0.990394	C11orf31
ENSG00000172264	0.21725	0.6793099	MACROD2
ENSG00000133315	-0.00755	0.986687	MACROD1
ENSG00000183291	-0.36	0.2455697	SEP15
ENSG00000111615	-0.0316833333333	0.9425981	KRR1
ENSG00000129195	0.00332	0.9980247	FAM64A
ENSG00000115808	-0.034634	0.9911796	STRN
ENSG00000132681	-0.0766666666667	0.801578	ATP1A4
ENSG00000188343	-0.387666666667	0.4887218	FAM92A1
ENSG00000255394	-0.188	0.4907544	C8orf49
ENSG00000164743	-0.0139	0.9888167	C8orf48
ENSG00000169085	0.00187333333333	0.9968739	C8orf46
ENSG00000213865	-0.113	0.6673955	C8orf44
ENSG00000115129	0.839	0.0142204	TP53I3
ENSG00000198125	0.16	0.6273998	MB
ENSG00000187714	-0.201	0.6796234	SLC18A3
ENSG00000165646	-0.02288	0.9920729	SLC18A2
ENSG00000036565	0.12	0.7169283	SLC18A1
ENSG00000017797	-0.0160666666667	0.8699665	RALBP1
ENSG00000124203	0.11225	0.9041389	ZNF831
ENSG00000198783	-0.1785	0.590625	ZNF830
ENSG00000127903	-0.282	0.3118216	ZNF835
ENSG00000152475	-0.09405	0.9175551	ZNF837
ENSG00000196267	0.073	0.9130874	ZNF836
ENSG00000022976	0.0903	0.8179732	ZNF839
ENSG00000121931	-0.0561	0.8686967	LRIF1
ENSG00000164902	-0.076	0.8296597	PHAX
ENSG00000175600	-0.27	0.2796661	SUGCT
ENSG00000137449	-0.0181333333333	0.9333294	CPEB2
ENSG00000042813	-0.00617	0.9957964	ZPBP
ENSG00000258992	0.06825	0.9333604	TSPY1
ENSG00000134594	-0.471	0.1830094	RAB33A
ENSG00000101194	0.0143666666667	0.919877	SLC17A9
ENSG00000172007	0.347	0.2750256	RAB33B
ENSG00000146039	-0.119	0.8496264	SLC17A4
ENSG00000119899	-0.12205	0.9128544	SLC17A5
ENSG00000091664	0.086	0.8234499	SLC17A6
ENSG00000104888	0.0307	0.8923868	SLC17A7
ENSG00000124568	0.0396333333333	0.9504473	SLC17A1
ENSG00000112337	0.144	0.7404519	SLC17A2
ENSG00000124564	-0.135	0.7509083	SLC17A3
ENSG00000140688	-0.132363333333	0.9865703	C16orf58
ENSG00000162062	-0.211	0.4400293	C16orf59
ENSG00000185716	-0.163	0.6653457	C16orf52
ENSG00000078747	-0.327416666667	0.7564691	ITCH
ENSG00000101421	-0.0265	0.6959025	CHMP4B
ENSG00000164695	0.0482	0.9167276	CHMP4C
ENSG00000082438	0.059132	0.9957915	COBLL1
ENSG00000184497	-0.326	0.3740298	TMEM255B
ENSG00000268760	-0.125	0.6336397	TMEM255A
ENSG00000166444	-0.0918	0.8597244	ST5
ENSG00000131845	0.125	0.6263818	ZNF304
ENSG00000256762	0.27	0.4848066	STH
ENSG00000089335	0.276333333333	0.4855938	ZNF302
ENSG00000145908	-0.135	0.8515861	ZNF300
ENSG00000101846	0.2045	0.5868959	STS
ENSG00000159184	-0.0484	0.9779973	HOXB13
ENSG00000138814	-0.112833333333	0.9284695	PPP3CA
ENSG00000107758	-0.1575	0.6212092	PPP3CB
ENSG00000120910	0.06328	0.9510258	PPP3CC
ENSG00000128342	0.297	0.2381477	LIF
ENSG00000197958	-0.0089	0.9761371	RPL12
ENSG00000032742	-0.107	0.7818537	IFT88
ENSG00000063177	0.0177	0.9824531	RPL18
ENSG00000150594	-0.154	0.5288191	ADRA2A
ENSG00000222040	0.0229	0.9718681	ADRA2B
ENSG00000184160	0.146	0.6312695	ADRA2C
ENSG00000175664	-0.3	0.4052655	TEX26
ENSG00000270616	-0.0235	0.9598353	TEX22
ENSG00000185254	0.0156	0.9770028	TEX28
ENSG00000153495	0.0911	0.8213754	TEX29
ENSG00000149043	0.312	0.2249812	SYT8
ENSG00000170743	0.067	0.9770735	SYT9
ENSG00000109919	0.0135	0.6542738	MTCH2
ENSG00000137409	-0.0205	0.9671266	MTCH1
ENSG00000067715	-0.05975	0.974866	SYT1
ENSG00000143858	0.169	0.5604997	SYT2
ENSG00000213023	-0.169	0.55949	SYT3
ENSG00000132872	-0.0268	0.9555841	SYT4
ENSG00000129990	0.07645	0.9476059	SYT5
ENSG00000134207	0.0685	0.8213632	SYT6
ENSG00000011347	0.11108	0.953451	SYT7
ENSG00000151923	0.08575	0.9727094	TIAL1
ENSG00000107164	-0.0565	0.9980381	FUBP3
ENSG00000162613	0.018825	0.8620997	FUBP1
ENSG00000019169	0.31	0.2449367	MARCO
ENSG00000164105	-0.244525	0.9618473	SAP30
ENSG00000158747	-0.067	0.8833105	NBL1
ENSG00000157856	-0.449	0.134599	DRC1
ENSG00000203724	0.0717	0.8610574	C1orf53
ENSG00000162642	-0.10335	0.9610881	C1orf52
ENSG00000164008	0.337	0.2185418	C1orf50
ENSG00000143443	-0.0496666666667	0.5460876	C1orf56
ENSG00000266177	-0.00615	0.9949007	C1orf54
ENSG00000186205	-0.267	0.3375907	MARC1
ENSG00000117791	0.2155	0.9134648	MARC2
ENSG00000166311	-0.033025	0.9838662	SMPD1
ENSG00000103056	0.293	0.5748539	SMPD3
ENSG00000135587	0.224	0.4111059	SMPD2
ENSG00000136492	-0.2545	0.588197	BRIP1
ENSG00000128655	0.0185	0.9849184	PDE11A
