ENSG_id	logFC	adj_pval	gene
ENSG00000268946	0.31875	0.9164	ATRX
ENSG00000070814	0.0833230666667	1.0	TCOF1
ENSG00000126653	-0.154	0.8805	NSRP1
ENSG00000157837	-0.00342857142857	0.965	SPPL3
ENSG00000125741	-0.358666666667	0.7323	OPA3
ENSG00000198836	-0.0345	0.789	OPA1
ENSG00000077943	1.396875	0.8503	ITGA8
ENSG00000144668	-0.074085	0.9883	ITGA9
ENSG00000213949	0.712333333333	0.7712	ITGA1
ENSG00000164171	-0.521	0.8376	ITGA2
ENSG00000005884	-0.738	0.746	ITGA3
ENSG00000115232	0.094	0.9435	ITGA4
ENSG00000161638	-0.529	0.7392	ITGA5
ENSG00000091409	-2.18	0.7366	ITGA6
ENSG00000135424	0.09245	0.958	ITGA7
ENSG00000174417	0.184	0.7323	TRHR
ENSG00000176125	-0.325	0.7323	UFSP1
ENSG00000109775	-0.265	0.7328	UFSP2
ENSG00000185614	1.25e-05	1.0	FAM212A
ENSG00000154080	0.03425	0.8632	CHST9
ENSG00000124302	-0.0635	0.8861	CHST8
ENSG00000175264	0.08525	0.9772	CHST1
ENSG00000122863	0.00883333333333	0.9409	CHST3
ENSG00000175040	0.079	0.7323	CHST2
ENSG00000135702	0.168	0.8041	CHST5
ENSG00000140835	0.00955	0.9879	CHST4
ENSG00000147119	-0.689	0.7323	CHST7
ENSG00000183196	0.0465	0.9476	CHST6
ENSG00000140678	0.0674	0.9071	ITGAX
ENSG00000140379	-1.86	0.7323	BCL2A1
ENSG00000138448	0.429	0.7423	ITGAV
ENSG00000005844	0.162	0.8239	ITGAL
ENSG00000169896	-0.0234	0.9724	ITGAM
ENSG00000156886	-0.00379	0.9918	ITGAD
ENSG00000083457	-0.0893	0.846	ITGAE
ENSG00000197081	-0.3779	0.9615	IGF2R
ENSG00000180773	-0.235955	0.9894	SLC36A4
ENSG00000268942	-0.38	0.7922	CKS1B
ENSG00000123643	-0.7565	0.8501	SLC36A1
ENSG00000117407	0.0058	0.9038	ARTN
ENSG00000129744	-0.150133333333	0.9055	ART1
ENSG00000156219	0.279	0.7323	ART3
ENSG00000167311	-0.0899	0.862	ART5
ENSG00000111339	0.0733	0.8719	ART4
ENSG00000109943	-0.231	0.7323	CRTAM
ENSG00000081803	-0.138	0.7642	CADPS2
ENSG00000117000	0.128	0.8679	RLF
ENSG00000170275	0.14568	0.9737	CRTAP
ENSG00000113742	-1.14825	0.7632	CPEB4
ENSG00000214575	-1.606	0.7323	CPEB1
ENSG00000107864	-0.0288	0.8292	CPEB3
ENSG00000137449	-0.406	0.8513	CPEB2
ENSG00000068784	-0.0152	0.9824	SRBD1
ENSG00000183044	0.930666666667	0.7324	ABAT
ENSG00000212993	-0.117	0.7899	POU5F1B
ENSG00000165462	-0.0707	0.9055	PHOX2A
ENSG00000109132	0.0382	0.9141	PHOX2B
ENSG00000110375	0.213	0.7354	UPK2
ENSG00000000971	0.131	0.9013	CFH
ENSG00000205403	0.3615	0.9356	CFI
ENSG00000185722	-0.34975	0.7874	ANKFY1
ENSG00000243570	0.0415	0.9011	CFB
