ENSG_id	logFC	adj_pval	gene
ENSG00000268946	-1.109819425	0.437	ATRX
ENSG00000070814	-0.4648332	0.464	TCOF1
ENSG00000126653	-1.5287337	0.42	NSRP1
ENSG00000157837	-0.197523414286	0.973	SPPL3
ENSG00000125741	-0.454670133333	0.834	OPA3
ENSG00000198836	-0.6399704	0.424	OPA1
ENSG00000077943	0.57566125	0.883	ITGA8
ENSG00000144668	0.329709575	0.88	ITGA9
ENSG00000213949	-0.790903033333	0.979	ITGA1
ENSG00000164171	-1.65656815	0.42	ITGA2
ENSG00000005884	-0.8522063	0.421	ITGA3
ENSG00000115232	-1.35086485	0.42	ITGA4
ENSG00000161638	-1.7534952	0.433	ITGA5
ENSG00000091409	-0.8969925	0.564	ITGA6
ENSG00000135424	0.6681011	0.42	ITGA7
ENSG00000174417	0.2244118	0.588	TRHR
ENSG00000176125	-0.4210507	0.42	UFSP1
ENSG00000109775	-0.6831715	0.42	UFSP2
ENSG00000185614	-0.1084306	0.775	FAM212A
ENSG00000154080	0.21176115	0.848	CHST9
ENSG00000124302	0.1678049	0.446	CHST8
ENSG00000175264	0.16954565	0.796	CHST1
ENSG00000122863	-0.417240766667	0.627	CHST3
ENSG00000175040	-0.13468635	0.42	CHST2
ENSG00000135702	-0.0855737	0.49	CHST5
ENSG00000140835	0.222177	0.578	CHST4
ENSG00000147119	-0.8258008	0.485	CHST7
ENSG00000183196	0.653486	0.42	CHST6
ENSG00000140678	0.4373528	0.498	ITGAX
ENSG00000140379	-0.3437623	0.458	BCL2A1
ENSG00000138448	-2.3652475	0.42	ITGAV
ENSG00000005844	0.7251754	0.421	ITGAL
ENSG00000169896	0.2903509	0.752	ITGAM
ENSG00000156886	-0.1261786	0.528	ITGAD
ENSG00000083457	-1.1560199	0.42	ITGAE
ENSG00000197081	-1.13660393333	0.532	IGF2R
ENSG00000180773	-0.5523182	0.463	SLC36A4
ENSG00000268942	-1.6844898	0.42	CKS1B
ENSG00000123643	0.030598	0.723	SLC36A1
ENSG00000117407	-0.0702470333333	0.543	ARTN
ENSG00000129744	0.1402975	0.504	ART1
ENSG00000156219	0.9923098	0.42	ART3
ENSG00000167311	-0.1598667	0.471	ART5
ENSG00000111339	0.1602783	0.806	ART4
ENSG00000109943	0.0957209	0.712	CRTAM
ENSG00000081803	0.9024062	0.432	CADPS2
ENSG00000117000	-0.9753084	0.42	RLF
ENSG00000170275	-1.43848248	0.456	CRTAP
ENSG00000159322	-0.8792197	0.42	ADPGK
ENSG00000113742	-0.817177125	0.452	CPEB4
ENSG00000214575	-1.2213677	0.42	CPEB1
ENSG00000107864	0.237054925	0.522	CPEB3
ENSG00000137449	-0.1457688	0.42	CPEB2
ENSG00000068784	-1.4596487	0.42	SRBD1
ENSG00000183044	-0.107395533333	0.8	ABAT
ENSG00000212993	-0.5656941	0.42	POU5F1B
ENSG00000165462	0.1096122	0.685	PHOX2A
