ENSG_id	logFC	adj_pval	gene
ENSG00000268946	-0.43675	0.892	ATRX
ENSG00000070814	0.141333333333	0.969	TCOF1
ENSG00000126653	-0.1	0.933	NSRP1
ENSG00000157837	-0.0934285714286	0.974	SPPL3
ENSG00000125741	0.432333333333	0.955	OPA3
ENSG00000198836	0.186475	0.973	OPA1
ENSG00000077943	-0.137025	0.966	ITGA8
ENSG00000144668	-0.174075	0.988	ITGA9
ENSG00000213949	-0.4318	0.984	ITGA1
ENSG00000164171	-0.5695	0.847	ITGA2
ENSG00000005884	-0.409	0.883	ITGA3
ENSG00000115232	0.14035	0.991	ITGA4
ENSG00000161638	-0.0584	0.968	ITGA5
ENSG00000091409	-0.02634	0.999	ITGA6
ENSG00000135424	-0.0164	0.991	ITGA7
ENSG00000174417	0.00538	0.997	TRHR
ENSG00000176125	0.212	0.895	UFSP1
ENSG00000109775	0.452	0.823	UFSP2
ENSG00000185614	-0.248	0.875	FAM212A
ENSG00000154080	-0.0386	0.988	CHST9
ENSG00000124302	0.0107	0.995	CHST8
ENSG00000175264	-0.2105	0.88	CHST1
ENSG00000122863	0.305333333333	0.903	CHST3
ENSG00000175040	-0.38	0.899	CHST2
ENSG00000135702	-0.1945	0.904	CHST5
ENSG00000140835	-0.133	0.904	CHST4
ENSG00000147119	0.461	0.82	CHST7
ENSG00000183196	-0.0138	0.993	CHST6
ENSG00000140678	-0.1367	0.949	ITGAX
ENSG00000140379	0.131	0.908	BCL2A1
ENSG00000138448	-0.277	0.867	ITGAV
ENSG00000005844	-0.0903	0.971	ITGAL
ENSG00000169896	0.0131	0.978	ITGAM
ENSG00000156886	-0.483	0.815	ITGAD
ENSG00000172301	0.188	0.872	COPRS
ENSG00000197081	0.442333333333	0.913	IGF2R
ENSG00000180773	-0.1395	0.938	SLC36A4
ENSG00000268942	-0.0681	0.965	CKS1B
ENSG00000123643	-0.2385	0.876	SLC36A1
ENSG00000179933	0.221	0.88	C14orf119
ENSG00000129744	-0.0951666666667	0.967	ART1
ENSG00000156219	0.13	0.906	ART3
ENSG00000167311	-0.0773	0.967	ART5
ENSG00000111339	0.039545	0.996	ART4
ENSG00000109943	0.19	0.88	CRTAM
ENSG00000081803	0.0027	1.0	CADPS2
ENSG00000117000	0.541	0.821	RLF
ENSG00000170275	0.004288	1.0	CRTAP
ENSG00000014641	0.1	0.943	MDH1
ENSG00000113742	0.0226	0.988	CPEB4
ENSG00000214575	0.12455	0.993	CPEB1
ENSG00000107864	-0.00975	0.987	CPEB3
ENSG00000164764	0.157333333333	0.926	SBSPON
ENSG00000068784	-0.0201	0.988	SRBD1
ENSG00000183044	0.0758666666667	0.984	ABAT
ENSG00000212993	-0.273	0.842	POU5F1B
ENSG00000165462	0.0714	0.966	PHOX2A
ENSG00000109132	0.0385	0.978	PHOX2B
ENSG00000158077	-0.332	0.829	NLRP14
ENSG00000110375	-0.226	0.855	UPK2
ENSG00000000971	-0.227	0.868	CFH
ENSG00000205403	-0.1685	0.898	CFI
ENSG00000185722	0.063225	0.989	ANKFY1
ENSG00000243570	-0.0035	0.964	CFB
ENSG00000126759	-0.213	0.883	CFP
ENSG00000094914	-0.0517	0.97	AAAS
ENSG00000072858	-0.0949	0.934	SIDT1
ENSG00000149577	-0.0555	0.967	SIDT2
ENSG00000103591	0.1048	0.969	AAGAB
ENSG00000154274	0.8375	0.852	C4orf19
ENSG00000138813	-0.207	0.866	C4orf17
ENSG00000164163	0.2355	0.907	ABCE1
ENSG00000152926	-0.070825	0.986	ZNF117
ENSG00000178150	0.115	0.95	ZNF114
ENSG00000062370	-0.0929	0.973	ZNF112
ENSG00000100095	0.0677	0.993	SEZ6L
ENSG00000114302	0.271	0.857	PRKAR2A
ENSG00000005249	0.246	0.865	PRKAR2B
ENSG00000269639	-0.405	0.883	MAGT1
ENSG00000125910	0.15	0.925	S1PR4
ENSG00000005961	-0.025525	0.994	ITGA2B
ENSG00000204138	-0.03585	0.971	PHACTR4
ENSG00000169992	-0.182333333333	0.951	NLGN2
ENSG00000171133	0.188	0.899	OR2K2
ENSG00000087495	0.0662	0.964	PHACTR3
ENSG00000112419	0.13732	0.994	PHACTR2
ENSG00000212725	-0.23	0.88	KRTAP2-1
ENSG00000164305	-0.288	0.835	CASP3
ENSG00000062716	-0.222	0.899	VMP1
ENSG00000174738	-0.2397	0.996	NR1D2
ENSG00000060491	0.03855	0.989	OGFR
ENSG00000117425	-0.213	0.861	PTCH2
ENSG00000185920	-0.0495	0.998	PTCH1
ENSG00000104980	0.4755	0.815	TIMM44
ENSG00000151164	0.10025	0.979	RAD9B
ENSG00000172613	-0.0191	0.992	RAD9A
ENSG00000087502	-0.11280875	1.0	ERGIC2
ENSG00000125991	-0.0189333333333	0.986	ERGIC3
ENSG00000113719	-0.118	0.975	ERGIC1
ENSG00000149541	0.2155	0.93	B3GAT3
ENSG00000112309	-0.1855	0.919	B3GAT2
ENSG00000109956	-0.17	0.886	B3GAT1
ENSG00000197557	0.766	0.799	TTC30A
ENSG00000196659	0.764	0.845	TTC30B
ENSG00000133104	-1.036025	0.987	SPG20
ENSG00000073605	-0.0513333333333	0.913	GSDMB
ENSG00000147697	-0.063	0.967	GSDMC
ENSG00000104518	0.0102	0.994	GSDMD
ENSG00000114638	0.02414	0.999	UPK1B
ENSG00000198010	-0.08845	0.95	DLGAP2
ENSG00000116544	0.0544	0.967	DLGAP3
ENSG00000170579	0.00951428571429	0.99	DLGAP1
ENSG00000269562	0.127816666667	0.978	DLGAP4
ENSG00000126787	0.25	0.856	DLGAP5
ENSG00000111012	0.191	0.883	CYP27B1
ENSG00000104147	0.159	0.93	OIP5
ENSG00000099364	0.152	0.908	FBXL19
ENSG00000072135	-0.102133333333	0.993	PTPN18
ENSG00000163629	-0.309	0.96	PTPN13
ENSG00000127947	0.1134	0.994	PTPN12
ENSG00000179295	-0.1557	0.976	PTPN11
ENSG00000152104	-0.13375	0.961	PTPN14
ENSG00000145220	0.357	0.876	LYAR
ENSG00000159239	-0.437	0.815	C2orf81
ENSG00000188674	0.0677	0.958	C2orf80
ENSG00000143006	-0.175	0.88	DMRTB1
ENSG00000182600	-0.1894945	1.0	C2orf82
ENSG00000187699	0.0095	0.845	C2orf88
ENSG00000007255	-0.319	0.904	TRAPPC6A
ENSG00000170476	-0.08205	0.96	MZB1
ENSG00000123374	-0.0605333333333	0.993	CDK2
ENSG00000231286	-0.07436	0.997	HLA-DQB1
ENSG00000263639	0.0981	0.968	MSMB
ENSG00000228254	-0.23	0.855	HLA-DQB2
