ENSG_id	logFC	adj_pval	gene
ENSG00000268946	0.164975	1.0	ATRX
ENSG00000070814	-0.0559	1.0	TCOF1
ENSG00000126653	-0.154	1.0	NSRP1
ENSG00000157837	0.00614285714286	1.0	SPPL3
ENSG00000125741	-0.000666666666667	1.0	OPA3
ENSG00000198836	-0.013395	1.0	OPA1
ENSG00000077943	-0.140325	1.0	ITGA8
ENSG00000144668	-0.124525	1.0	ITGA9
ENSG00000213949	0.168366666667	1.0	ITGA1
ENSG00000164171	0.8325	1.0	ITGA2
ENSG00000005884	0.215	1.0	ITGA3
ENSG00000115232	-0.02745	1.0	ITGA4
ENSG00000161638	0.322	1.0	ITGA5
ENSG00000091409	0.6455	1.0	ITGA6
ENSG00000135424	-0.06425	1.0	ITGA7
ENSG00000174417	0.0689	1.0	TRHR
ENSG00000176125	-0.0741	1.0	UFSP1
ENSG00000109775	0.0445	1.0	UFSP2
ENSG00000185614	-0.115	1.0	FAM212A
ENSG00000154080	-0.08815	1.0	CHST9
ENSG00000124302	0.229	1.0	CHST8
ENSG00000175264	-0.03475	1.0	CHST1
ENSG00000122863	0.163893	1.0	CHST3
ENSG00000175040	0.3165	1.0	CHST2
ENSG00000135702	-0.07415	1.0	CHST5
ENSG00000140835	0.0881	1.0	CHST4
ENSG00000147119	0.281	1.0	CHST7
ENSG00000183196	0.0968	1.0	CHST6
ENSG00000140678	-0.2595	1.0	ITGAX
ENSG00000140379	-0.116	1.0	BCL2A1
ENSG00000138448	-0.07	1.0	ITGAV
ENSG00000005844	-0.2175	1.0	ITGAL
ENSG00000169896	-0.16505	1.0	ITGAM
ENSG00000156886	-0.0564	1.0	ITGAD
ENSG00000172301	0.00889	1.0	COPRS
ENSG00000197081	0.204866666667	1.0	IGF2R
ENSG00000180773	0.30085	1.0	SLC36A4
ENSG00000268942	-0.127	1.0	CKS1B
ENSG00000123643	-0.186	1.0	SLC36A1
ENSG00000117407	-0.0708666666667	1.0	ARTN
ENSG00000129744	-0.124866666667	1.0	ART1
ENSG00000156219	-0.0855	1.0	ART3
ENSG00000167311	0.0469	1.0	ART5
ENSG00000111339	-0.0717	1.0	ART4
ENSG00000109943	0.00485	1.0	CRTAM
ENSG00000081803	-0.515	1.0	CADPS2
ENSG00000117000	0.389	1.0	RLF
ENSG00000170275	0.04896	1.0	CRTAP
ENSG00000014641	-0.219	1.0	MDH1
ENSG00000113742	0.029575	1.0	CPEB4
ENSG00000214575	-0.063445	1.0	CPEB1
ENSG00000107864	0.03985	1.0	CPEB3
ENSG00000164764	-0.1448	1.0	SBSPON
ENSG00000068784	-0.211	1.0	SRBD1
ENSG00000183044	-0.0358	1.0	ABAT
ENSG00000212993	-0.142	1.0	POU5F1B
ENSG00000165462	-0.197	1.0	PHOX2A
ENSG00000109132	-0.168	1.0	PHOX2B
ENSG00000158077	-0.11	1.0	NLRP14
ENSG00000110375	-0.263	1.0	UPK2
ENSG00000000971	0.0779	1.0	CFH
ENSG00000205403	-0.11335	1.0	CFI
ENSG00000185722	-0.037805	1.0	ANKFY1
ENSG00000243570	0.152	1.0	CFB
ENSG00000126759	-0.0933	1.0	CFP
ENSG00000094914	-0.154	1.0	AAAS
ENSG00000072858	-0.168	1.0	SIDT1
ENSG00000149577	0.0108	1.0	SIDT2
ENSG00000103591	0.104133333333	1.0	AAGAB
ENSG00000154274	-0.04548	1.0	C4orf19
ENSG00000138813	-0.122	1.0	C4orf17
ENSG00000164163	0.00745	1.0	ABCE1
ENSG00000152926	0.00175	1.0	ZNF117
ENSG00000178150	0.898	1.0	ZNF114
ENSG00000062370	0.0205	1.0	ZNF112
ENSG00000100095	-0.0250333333333	1.0	SEZ6L
ENSG00000114302	-0.022296	1.0	PRKAR2A
