ENSG_id	logFC	adj_pval	gene
ENSG00000013561	0.0937597	0.996	RNF14
ENSG00000124440	0.08314448	0.713	HIF3A
ENSG00000132972	-0.438316916667	0.293	RNF17
ENSG00000022840	0.06924944	0.995	RNF10
ENSG00000123091	0.08104957	0.994	RNF11
ENSG00000082996	-0.07352134	0.994	RNF13
ENSG00000088320	-0.75978395	0.976	REM1
ENSG00000139890	-0.1455921	0.994	REM2
ENSG00000186907	0.08669576	0.994	RTN4RL2
ENSG00000149809	0.01852802	0.995	TM7SF2
ENSG00000196814	0.118854905	0.996	MVB12B
ENSG00000140367	-0.01583589	0.999	UBE2Q2
ENSG00000070770	0.10456974	0.994	CSNK2A2
ENSG00000255112	0.16294968	0.949	CHMP1B
ENSG00000140650	0.1834133	0.994	PMM2
ENSG00000184182	0.0769095	0.994	UBE2F
ENSG00000100417	0.11474476	0.994	PMM1
ENSG00000130707	0.0388811466667	0.996	ASS1
ENSG00000136937	0.04156715	0.994	NCBP1
ENSG00000196826	-0.22250926	0.994	ZNF709
ENSG00000182141	0.92353841	0.97	ZNF708
ENSG00000234284	-0.4343552	0.293	ZNF879
ENSG00000176204	-0.430511483333	0.293	LRRTM4
ENSG00000183779	0.22908479	0.948	ZNF703
ENSG00000116096	0.08964647	0.994	SPR
ENSG00000196757	0.21083159	0.887	ZNF700
ENSG00000261516	0.10223078	0.973	ZNF707
ENSG00000152495	0.42865862	0.293	CAMK4
ENSG00000164684	-0.01859644	0.994	ZNF704
ENSG00000135482	-0.03536753	0.998	ZC3H10
ENSG00000123200	0.0617217566667	0.994	ZC3H13
ENSG00000265491	-0.00199661	0.999	RNF115
ENSG00000128482	0.39482911	0.994	RNF112
ENSG00000162959	0.03239288	0.994	MEMO1
ENSG00000197471	-0.07692198	0.999	SPN
ENSG00000157450	0.14094478	0.969	RNF111
ENSG00000272743	0.69575473	0.994	CEACAM5
ENSG00000176884	0.172010513333	0.995	GRIN1
ENSG00000241878	0.10441757	0.994	PISD
ENSG00000135829	-0.05497065	0.999	DHX9
ENSG00000173894	-0.21727561	0.994	CBX2
ENSG00000198739	-0.439634675	0.293	LRRTM3
ENSG00000110713	0.0591758433333	0.994	NUP98
ENSG00000154767	0.07581252	0.994	XPC
ENSG00000185591	0.0577451745455	0.999	SP1
ENSG00000167182	0.487554155	0.825	SP2
ENSG00000272939	-0.42787886	0.293	CEACAM6
ENSG00000105866	0.3169471	0.898	SP4
ENSG00000204335	-0.0679493133333	0.994	SP5
