ENSG_id	LFC	gene_symbol
ENSG00000129824	-14.29773218	RPS4Y1
ENSG00000067048	-13.36685661	DDX3Y
ENSG00000114374	-12.19896149	USP9Y
ENSG00000198692	-11.78503378	EIF1AY
ENSG00000183878	-11.74962002	UTY
ENSG00000012817	-11.59420373	KDM5D
ENSG00000131002	-11.29002366	TXLNG2P
ENSG00000233864	-11.0612533	TTTY15
ENSG00000067646	-10.67697794	ZFY
ENSG00000099725	-9.259218345	PRKY
ENSG00000154620	-8.21791218	TMSB4Y
ENSG00000138587	-5.439818312	MNS1
ENSG00000196730	-4.44904823	DAPK1
ENSG00000109511	-4.138886566	ANXA10
ENSG00000165025	-4.029214949	SYK
ENSG00000163082	-3.979573744	SGPP2
ENSG00000260032	-3.906862254	LINC00657
ENSG00000231131	-3.696786291	RP11-346D6.6
ENSG00000113448	-3.59985469	PDE4D
ENSG00000178695	-3.044634455	KCTD12
ENSG00000184292	-2.966849737	TACSTD2
ENSG00000108244	-2.831471199	KRT23
ENSG00000115339	-2.802819539	GALNT3
ENSG00000047634	-2.795946654	SCML1
ENSG00000163762	-2.746909072	TM4SF18
ENSG00000091879	-2.62373178	ANGPT2
ENSG00000218336	-2.578414516	TENM3
ENSG00000233514	-2.573179662	RP11-570P14.1
ENSG00000241494	-2.537237398	RP11-796G6.1
ENSG00000176463	-2.521088993	SLCO3A1
ENSG00000162407	-2.520980085	PPAP2B
ENSG00000102287	-2.433173522	GABRE
ENSG00000196374	-2.391542899	HIST1H2BM
ENSG00000185130	-2.271867878	HIST1H2BL
ENSG00000197153	-2.270957888	HIST1H3J
ENSG00000144749	-2.243668913	LRIG1
ENSG00000115616	-2.238984525	SLC9A2
ENSG00000171208	-2.220154021	NETO2
ENSG00000214391	-2.133803261	RP11-121L10.3
ENSG00000075213	-2.121664895	SEMA3A
ENSG00000227954	-2.102877469	RP3-323P13.2
ENSG00000115604	-2.087398641	IL18R1
ENSG00000103888	-2.043744368	KIAA1199
ENSG00000197846	-2.043714303	HIST1H2BF
ENSG00000101076	-2.014261191	HNF4A
ENSG00000102678	-1.980996746	FGF9
ENSG00000114631	-1.961884362	PODXL2
ENSG00000183914	-1.95648184	DNAH2
ENSG00000135373	-1.950583743	EHF
ENSG00000116991	-1.939905277	SIPA1L2
ENSG00000231023	-1.934160407	LINC00326
ENSG00000254373	-1.933578829	RP11-34P1.2
ENSG00000241007	-1.922175582	SEPT7P6
ENSG00000251369	-1.913845815	ZNF550
ENSG00000095739	-1.899918493	BAMBI
ENSG00000107984	-1.875254984	DKK1
ENSG00000143195	-1.828323337	ILDR2
ENSG00000169851	-1.820121899	PCDH7
ENSG00000214223	-1.803730585	HNRNPA1P10
ENSG00000224578	-1.803488119	HNRNPA1P48
ENSG00000248546	-1.786763625	ANP32C
ENSG00000214975	-1.785977024	PPIAP29
ENSG00000186854	-1.784297928	TRABD2A
ENSG00000234297	-1.783191992	RP11-54D18.4
ENSG00000171522	-1.761522109	PTGER4
ENSG00000260103	-1.749398508	RP11-10O17.1
ENSG00000256663	-1.717567067	RP11-424C20.2
ENSG00000251066	-1.713048601	CTC-534B23.1
ENSG00000182611	-1.7063189	HIST1H2AJ
ENSG00000117600	-1.70589383	LPPR4
ENSG00000234145	-1.699584938	NAP1L4P3
ENSG00000158747	-1.682381896	NBL1
ENSG00000158164	-1.676790324	TMSB15A
ENSG00000169621	-1.67402605	APLF
ENSG00000099994	-1.662040554	SUSD2
ENSG00000198518	-1.650993407	HIST1H4E
ENSG00000058091	-1.64608144	CDK14
ENSG00000183298	-1.642227179	RP11-556K13.1
ENSG00000226986	-1.609416803	RP11-543B16.2
ENSG00000255213	-1.603386644	NPM1P35
ENSG00000212195	-1.597903227	U3
ENSG00000120162	-1.591685044	MOB3B
ENSG00000183971	-1.590164151	NPW
ENSG00000133687	-1.584525875	TMTC1
ENSG00000139343	-1.5711477	SNRPF
ENSG00000136999	-1.561110682	NOV
ENSG00000166432	-1.559006004	ZMAT1
ENSG00000105750	-1.550955035	ZNF85
ENSG00000179271	-1.548362223	GADD45GIP1
ENSG00000170231	-1.546893069	FABP6
ENSG00000235070	-1.54688087	AC068138.1
ENSG00000187833	-1.542506308	C2orf78
ENSG00000165929	-1.532802742	TC2N
ENSG00000197903	-1.531063837	HIST1H2BK
ENSG00000231878	-1.52142227	SNRPFP1
ENSG00000250067	-1.520501089	YJEFN3
ENSG00000106211	-1.513477789	HSPB1
ENSG00000157240	-1.505540202	FZD1
ENSG00000131470	-1.499380877	PSMC3IP
ENSG00000231341	-1.498614541	VDAC1P6
ENSG00000117525	-1.497433323	F3
ENSG00000076770	-1.488877997	MBNL3
ENSG00000249565	-1.484505269	SERBP1P5
ENSG00000219553	-1.484120231	RP1-281H8.3
ENSG00000187123	-1.480810782	LYPD6
ENSG00000130600	-1.477350302	H19
ENSG00000120337	-1.471355898	TNFSF18
ENSG00000230397	-1.471246198	SPTLC1P1
ENSG00000232665	-1.469670818	PHBP10
ENSG00000238251	-1.457974564	RP11-172F4.2
ENSG00000131746	-1.454881913	TNS4
ENSG00000158406	-1.451015153	HIST1H4H
ENSG00000229204	-1.447756587	PTGES3P3
ENSG00000258245	-1.446374105	RP11-114H23.3
ENSG00000214960	-1.44501757	ISPD
ENSG00000236081	-1.442083433	AC074389.9
ENSG00000065809	-1.440358184	FAM107B
ENSG00000197766	-1.440050687	CFD
ENSG00000170860	-1.433065454	LSM3
ENSG00000172086	-1.427289093	KRCC1
ENSG00000263781	-1.426582658	RP11-321A17.3
ENSG00000113657	-1.42576784	DPYSL3
ENSG00000189334	-1.424756974	S100A14
ENSG00000188290	-1.417374392	HES4
ENSG00000140022	-1.41148339	STON2
ENSG00000213856	-1.408360142	VDAC1P2
ENSG00000240132	-1.402681379	ETF1P2
ENSG00000237452	-1.399203931	AC074212.3
ENSG00000197372	-1.395713104	ZNF675
ENSG00000179085	-1.39539919	DPM3
ENSG00000165125	-1.39001637	TRPV6
ENSG00000108518	-1.380795775	PFN1
ENSG00000101057	-1.380764479	MYBL2
ENSG00000069482	-1.376032501	GAL
ENSG00000149929	-1.372886672	HIRIP3
ENSG00000131153	-1.368421989	GINS2
ENSG00000115963	-1.366787915	RND3
ENSG00000197619	-1.361912892	ZNF615
ENSG00000243759	-1.355372108	ST13P15
ENSG00000225373	-1.355107372	WASH5P
ENSG00000257704	-1.35420463	PRR24
ENSG00000254893	-1.35152965	RP11-466P24.2
ENSG00000160213	-1.345799946	CSTB
ENSG00000180596	-1.336379414	HIST1H2BC
ENSG00000253144	-1.335714585	RP11-281O15.7
ENSG00000229417	-1.335246196	NPM1P25
ENSG00000249242	-1.328206057	TMEM150C
ENSG00000099901	-1.327903777	RANBP1
ENSG00000164684	-1.321074794	ZNF704
ENSG00000155066	-1.31667955	PROM2
ENSG00000147996	-1.314146175	CBWD5
ENSG00000224861	-1.311979987	YBX1P1
ENSG00000259086	-1.307620352	RP11-134E15.2
ENSG00000234335	-1.305965634	RPS4XP11
ENSG00000133739	-1.295833055	LRRCC1
ENSG00000231549	-1.29477204	USMG5P1
ENSG00000127774	-1.294430415	EMC6
ENSG00000172575	-1.293609516	RASGRP1
ENSG00000198840	-1.289235193	MT-ND3
ENSG00000100028	-1.286302179	SNRPD3
ENSG00000138449	-1.282368835	SLC40A1
ENSG00000258427	-1.27988049	RBM8B
ENSG00000216624	-1.278993574	GAPDHP72
ENSG00000198171	-1.278650488	DDRGK1
ENSG00000093009	-1.274944042	CDC45
ENSG00000230979	-1.27192837	AC079250.1
ENSG00000129451	-1.262957273	KLK10
ENSG00000200169	-1.261280235	RNU5D-1
ENSG00000111142	-1.260336753	METAP2
ENSG00000090273	-1.259920181	NUDC
ENSG00000233111	-1.25579313	RAB1C
ENSG00000196331	-1.254772078	HIST1H2BO
ENSG00000168298	-1.253321507	HIST1H1E
ENSG00000177707	-1.252393141	PVRL3
ENSG00000156510	-1.246050472	HKDC1
ENSG00000228335	-1.244964161	AC073063.10
ENSG00000225580	-1.244025392	RP1-159M24.1
ENSG00000168916	-1.24242599	ZNF608
ENSG00000123144	-1.237009407	C19orf43
ENSG00000248873	-1.236940756	SERBP1P6
ENSG00000203814	-1.225475355	HIST2H2BF
ENSG00000184270	-1.223955635	HIST2H2AB
ENSG00000101665	-1.218835797	SMAD7
ENSG00000184100	-1.21872924	BRD7P2
ENSG00000049323	-1.21750335	LTBP1
ENSG00000119705	-1.215824073	SLIRP
ENSG00000115255	-1.214119689	REEP6
ENSG00000179218	-1.208958671	CALR
ENSG00000235082	-1.2011408	SUMO1P3
ENSG00000237821	-1.196420706	AC083873.4
ENSG00000196081	-1.194414168	ZNF724P
ENSG00000255397	-1.191907834	AC022182.2
ENSG00000184260	-1.189956485	HIST2H2AC
ENSG00000214049	-1.186016823	UCA1
ENSG00000167755	-1.18155	KLK6
ENSG00000223984	-1.176470657	HNRNPRP1
ENSG00000226085	-1.175644182	UQCRFS1P1
ENSG00000196787	-1.174182138	HIST1H2AG
ENSG00000215311	-1.172839793	NPM1P12
ENSG00000198203	-1.17204136	SULT1C2
ENSG00000272734	-1.171598779	ADIRF-AS1
ENSG00000146592	-1.170882741	CREB5
ENSG00000225968	-1.170824221	ELFN1
ENSG00000120437	-1.164820913	ACAT2
ENSG00000123416	-1.164184383	TUBA1B
ENSG00000144034	-1.161962771	TPRKB
ENSG00000092853	-1.15987178	CLSPN
ENSG00000163072	-1.15928971	NOSTRIN
ENSG00000233868	-1.159082256	AC009302.2
ENSG00000260442	-1.158823491	RP11-22P6.3
ENSG00000172809	-1.154093143	RPL38
ENSG00000083307	-1.152320895	GRHL2
ENSG00000163918	-1.151393068	RFC4
ENSG00000088340	-1.149855187	FER1L4
ENSG00000237828	-1.149795159	PA2G4P1
ENSG00000180573	-1.148617955	HIST1H2AC
ENSG00000253948	-1.147781141	RP11-410L14.2
ENSG00000135480	-1.14592212	KRT7
ENSG00000160818	-1.145010069	GPATCH4
ENSG00000267041	-1.144519688	ZNF850
ENSG00000007520	-1.144224923	TSR3
ENSG00000254726	-1.139154484	MEX3A
ENSG00000239672	-1.138025759	NME1
ENSG00000183684	-1.136468648	ALYREF
ENSG00000099860	-1.132558874	GADD45B
ENSG00000177855	-1.132542428	CACYBPP2
ENSG00000100526	-1.12882123	CDKN3
ENSG00000166394	-1.128149489	CYB5R2
ENSG00000142544	-1.127727393	CTU1
ENSG00000227973	-1.126823864	PIN4P1
ENSG00000085552	-1.125250534	IGSF9
ENSG00000126768	-1.123114342	TIMM17B
ENSG00000188856	-1.122800162	RPSAP47
ENSG00000155368	-1.12209325	DBI
ENSG00000148488	-1.121074811	ST8SIA6
ENSG00000140319	-1.120404885	SRP14
ENSG00000121211	-1.117370701	MND1
ENSG00000100297	-1.116583982	MCM5
ENSG00000259918	-1.114387469	NDUFA5P11
ENSG00000230067	-1.114341413	HSPD1P6
ENSG00000169738	-1.112319074	DCXR
ENSG00000215349	-1.107022354	MRPL3P1
ENSG00000109536	-1.104988766	FRG1
ENSG00000236570	-1.09874798	RAD23BP1
ENSG00000096384	-1.096072119	HSP90AB1
ENSG00000106034	-1.095795683	CPED1
ENSG00000232499	-1.093337961	RP11-512F24.1
ENSG00000148229	-1.092066447	POLE3
ENSG00000260430	-1.091853665	RP11-626G11.4
ENSG00000225356	-1.090936919	RP11-433O3.1
ENSG00000104738	-1.090871181	MCM4
ENSG00000185630	-1.089928799	PBX1
ENSG00000214012	-1.089415534	KRT18P38
ENSG00000222020	-1.087303407	AC062017.1
ENSG00000124693	-1.086441528	HIST1H3B
ENSG00000189403	-1.086171578	HMGB1
ENSG00000170955	-1.08593068	PRKCDBP
ENSG00000219891	-1.083715705	ZSCAN12P1
ENSG00000128692	-1.081851451	EIF2S2P4
ENSG00000213846	-1.077201089	AC098614.2
