ENSG_id	logFC	adj_pval	gene
ENSG00000013561	-0.5626805	0.08898177	RNF14
ENSG00000160714	-0.5488269	0.09102906	UBE2Q1
ENSG00000132972	-0.4157765	0.46963307	RNF17
ENSG00000022840	-0.5644011	0.08344105	RNF10
ENSG00000123091	-0.4708227	0.27315344	RNF11
ENSG00000082996	-0.5476216	0.12505782	RNF13
ENSG00000088320	0.036452	0.92839973	REM1
ENSG00000139890	-1.7163657	0.00208347	REM2
ENSG00000186907	-0.0354226	0.93774183	RTN4RL2
ENSG00000112337	0.0202828	0.96441088	SLC17A2
ENSG00000130731	0.6725743	0.04835994	C16orf13
ENSG00000161992	0.4248494	0.54693233	C16orf11
ENSG00000116750	0.96141355	0.01714886	UCHL5
ENSG00000140274	0.2223678	0.69955558	DUOXA2
ENSG00000144426	0.15286895	0.92136055	NBEAL1
ENSG00000152082	0.4156241	0.20688293	MZT2B
ENSG00000268946	-0.2132306	0.91664193	ATRX
ENSG00000140650	0.9555	0.0195815	PMM2
ENSG00000164002	0.1736684	0.60272407	EXO5
ENSG00000130707	-0.5178607	0.25004855	ASS1
ENSG00000189283	-0.55168235	0.20871127	FHIT
ENSG00000196826	-0.0813672	0.41661468	ZNF709
ENSG00000182141	-0.1114128	0.80463709	ZNF708
ENSG00000239306	-0.0843123	0.74682922	RBM14
ENSG00000257446	0.4757892	0.50215183	ZNF878
ENSG00000087303	0.7932365	0.06389139	NID2
ENSG00000183779	0.9665815	0.01163315	ZNF703
ENSG00000145592	-0.0805434666667	0.73576213	RPL37
ENSG00000116096	-1.2614652	0.00445902	SPR
ENSG00000196757	0.0260457	0.95313746	ZNF700
ENSG00000261516	0.0398821	0.9280468	ZNF707
ENSG00000120963	-0.8918731	0.01914243	ZNF706
ENSG00000164684	0.30351655	0.82036494	ZNF704
ENSG00000135482	-0.0130071	0.97453742	ZC3H10
ENSG00000124226	-1.0257061	0.00612942	RNF114
ENSG00000128482	-3.5557179	7.772e-05	RNF112
ENSG00000100722	-0.05851715	0.3190705	ZC3H14
ENSG00000197471	0.2131922	0.78121858	SPN
ENSG00000157450	-0.6805503	0.06457832	RNF111
ENSG00000132321	-0.16145575	0.90724134	IQCA1
ENSG00000272743	-1.0071936	0.21842988	CEACAM5
ENSG00000176884	-0.7603788	0.37277221	GRIN1
