ENSG_id	logFC	adj_pval	gene
ENSG00000255112	-0.03395	0.7296	CHMP1B
ENSG00000070814	0.02988	0.9857	TCOF1
ENSG00000126653	0.0799	0.8049	NSRP1
ENSG00000157837	0.134028571429	0.9519	SPPL3
ENSG00000125741	0.0864666666667	0.9208	OPA3
ENSG00000198836	0.0245	0.9299	OPA1
ENSG00000077943	0.0666525	0.9883	ITGA8
ENSG00000144668	0.046175	0.8963	ITGA9
ENSG00000213949	0.172433333333	0.8567	ITGA1
ENSG00000164171	0.003	0.7091	ITGA2
ENSG00000005884	0.279	0.6187	ITGA3
ENSG00000115232	-0.166125	0.7414	ITGA4
ENSG00000161638	0.0602	0.9376	ITGA5
ENSG00000091409	0.001	0.7753	ITGA6
ENSG00000135424	0.193	0.8222	ITGA7
ENSG00000174417	0.0584	0.8175	TRHR
ENSG00000176125	0.0015	0.997	UFSP1
ENSG00000109775	-0.0942	0.6506	UFSP2
ENSG00000185614	0.0142	0.9636	FAM212A
ENSG00000154080	-0.4125	0.3273	CHST9
ENSG00000124302	0.105	0.7882	CHST8
ENSG00000175264	0.01855	0.89	CHST1
ENSG00000122863	0.0475333333333	0.9242	CHST3
ENSG00000175040	0.0809	0.8773	CHST2
ENSG00000135702	0.10905	0.8299	CHST5
ENSG00000140835	0.087	0.7405	CHST4
ENSG00000147119	-0.0387	0.8871	CHST7
ENSG00000183196	-0.0841	0.874	CHST6
ENSG00000140678	-0.02015	0.7629	ITGAX
ENSG00000140379	-0.00981	0.9609	BCL2A1
ENSG00000138448	-0.149	0.5645	ITGAV
ENSG00000005844	0.0093	0.8331	ITGAL
ENSG00000169896	-0.0181	0.9106	ITGAM
ENSG00000156886	-0.1	0.6937	ITGAD
ENSG00000172301	-0.0573	0.8507	COPRS
ENSG00000197081	-0.017	0.9513	IGF2R
ENSG00000180773	0.1217	0.705	SLC36A4
ENSG00000268942	-0.0311	0.9141	CKS1B
ENSG00000123643	-0.0360245	0.999	SLC36A1
ENSG00000117407	0.202366666667	0.9412	ARTN
ENSG00000129744	-0.0572666666667	0.9055	ART1
ENSG00000156219	0.13	0.7033	ART3
ENSG00000167311	0.148	0.6129	ART5
ENSG00000111339	-0.0162	0.9649	ART4
ENSG00000109943	-0.0189	0.9207	CRTAM
ENSG00000081803	0.0326	0.9683	CADPS2
ENSG00000117000	-0.172	0.582	RLF
ENSG00000170275	-0.00058	0.922	CRTAP
ENSG00000014641	-0.0847	0.6304	MDH1
ENSG00000113742	0.052375	0.9365	CPEB4
ENSG00000214575	0.15785	0.9473	CPEB1
ENSG00000107864	-0.005475	0.9225	CPEB3
ENSG00000164764	-0.014276	1.0	SBSPON
ENSG00000068784	-0.0134	0.9548	SRBD1
ENSG00000183044	-0.0621666666667	0.9583	ABAT
ENSG00000212993	-0.123	0.7269	POU5F1B
ENSG00000165462	-0.201	0.5139	PHOX2A
ENSG00000109132	-0.129	0.7108	PHOX2B
ENSG00000110375	0.103	0.6706	UPK2
ENSG00000000971	-0.0689	0.823	CFH
ENSG00000205403	-0.0363	0.8772	CFI
ENSG00000185722	-0.00635	0.8284	ANKFY1
ENSG00000243570	0.009405	0.9891	CFB
ENSG00000126759	0.0217	0.8989	CFP
ENSG00000094914	0.0161	0.9391	AAAS
ENSG00000072858	-0.0206	0.9482	SIDT1
ENSG00000149577	0.0983	0.9381	SIDT2
ENSG00000103591	0.139533333333	0.9171	AAGAB
ENSG00000154274	-0.1005	0.7516	C4orf19
ENSG00000138813	0.114	0.7591	C4orf17
ENSG00000164163	-0.05905	0.9355	ABCE1
ENSG00000152926	-0.097575	0.8549	ZNF117
ENSG00000178150	0.028765	0.9767	ZNF114
ENSG00000062370	0.00462	0.9828	ZNF112
ENSG00000100095	0.0343666666667	0.8476	SEZ6L
ENSG00000114302	-0.02488	0.8602	PRKAR2A
ENSG00000005249	-0.13	0.5923	PRKAR2B
ENSG00000269639	0.0304666666667	0.7541	MAGT1
ENSG00000253304	-0.235	0.543	TMEM200B
ENSG00000005961	-0.078875	0.9645	ITGA2B
ENSG00000204138	0.07315	0.9554	PHACTR4
ENSG00000112137	0.01435	0.9806	PHACTR1
ENSG00000171133	-0.127	0.7153	OR2K2
ENSG00000087495	-0.0397	0.8676	PHACTR3
ENSG00000112419	-0.02502134	1.0	PHACTR2
ENSG00000212725	-0.019	0.944	KRTAP2-1
ENSG00000122674	-0.00926	0.9851	CCZ1
ENSG00000062716	0.745	0.5398	VMP1
ENSG00000174738	0.122	0.8578	NR1D2
ENSG00000060491	-0.0121	0.9661	OGFR
ENSG00000117425	-0.103	0.6758	PTCH2
ENSG00000185920	-0.15578	0.8784	PTCH1
ENSG00000104980	-0.091	0.652	TIMM44
ENSG00000151164	-0.03885	0.9573	RAD9B
ENSG00000172613	0.109	0.6366	RAD9A
ENSG00000087502	-0.036885	0.999	ERGIC2
ENSG00000125991	0.00753333333333	0.9628	ERGIC3
ENSG00000113719	-0.0686	0.8075	ERGIC1
ENSG00000149541	0.1185	0.8294	B3GAT3
ENSG00000112309	0.027	0.6705	B3GAT2
ENSG00000109956	0.119	0.6517	B3GAT1
ENSG00000197557	0.0976	0.7001	TTC30A
ENSG00000196659	0.256	0.6076	TTC30B
ENSG00000133104	-0.076825	0.7532	SPG20
ENSG00000073605	-0.0118333333333	0.9093	GSDMB
ENSG00000147697	-0.000556	0.9996	GSDMC
ENSG00000104518	0.2	0.5759	GSDMD
ENSG00000105668	-0.143	0.6022	UPK1A
ENSG00000114638	-0.173	0.6832	UPK1B
ENSG00000198010	0.07015	0.859	DLGAP2
ENSG00000116544	0.129	0.7856	DLGAP3
ENSG00000170579	0.0864142857143	0.9664	DLGAP1
ENSG00000269562	0.0799333333333	0.9604	DLGAP4
ENSG00000126787	-0.11	0.7076	DLGAP5
ENSG00000111012	0.0195	0.9365	CYP27B1
ENSG00000104147	-0.0525	0.7928	OIP5
ENSG00000099364	-0.145	0.7058	FBXL19
ENSG00000072135	-0.015	0.9403	PTPN18
ENSG00000163629	0.13355	0.8491	PTPN13
ENSG00000127947	-0.146633333333	0.9402	PTPN12
ENSG00000179295	-0.0462166666667	0.9323	PTPN11
ENSG00000152104	0.13925	0.8265	PTPN14
ENSG00000145220	0.0743	0.8899	LYAR
ENSG00000159239	0.128	0.6217	C2orf81
ENSG00000188674	-0.178	0.6002	C2orf80
ENSG00000042304	-0.147	0.6259	C2orf83
ENSG00000182600	-0.0679	0.9623	C2orf82
ENSG00000187699	-0.141	0.8518	C2orf88
