ENSG_id	logFC	adj_pval	gene
ENSG00000255112	-0.3925	0.49568	CHMP1B
ENSG00000070814	0.2475	0.77033	TCOF1
ENSG00000126653	-0.0901	0.83534	NSRP1
ENSG00000157837	0.0642085714286	0.99513	SPPL3
ENSG00000125741	-0.0115	0.96487	OPA3
ENSG00000198836	0.011	0.81057	OPA1
ENSG00000077943	-0.1678	0.92994	ITGA8
ENSG00000144668	-0.142175	0.88159	ITGA9
ENSG00000213949	-0.0556666666667	0.75206	ITGA1
ENSG00000164171	-0.02065	0.93665	ITGA2
ENSG00000005884	0.151	0.72609	ITGA3
ENSG00000115232	0.272525	0.98715	ITGA4
ENSG00000161638	-0.324	0.46034	ITGA5
ENSG00000091409	-0.0135	0.65424	ITGA6
ENSG00000135424	0.0092	0.96607	ITGA7
ENSG00000174417	0.0261	0.95855	TRHR
ENSG00000176125	-0.0209	0.965	UFSP1
ENSG00000109775	0.0205	0.96215	UFSP2
ENSG00000185614	0.105	0.77033	FAM212A
ENSG00000154080	-0.0561	0.9061	CHST9
ENSG00000124302	-0.25	0.41949	CHST8
ENSG00000175264	0.2375	0.6188	CHST1
ENSG00000122863	0.118775666667	0.99968	CHST3
ENSG00000175040	-0.06795	0.98329	CHST2
ENSG00000135702	-0.02795	0.97199	CHST5
ENSG00000140835	0.137	0.72019	CHST4
ENSG00000147119	0.142	0.74814	CHST7
ENSG00000183196	0.138	0.77258	CHST6
ENSG00000140678	-0.545	0.48591	ITGAX
ENSG00000140379	0.136	0.72867	BCL2A1
ENSG00000138448	-0.193	0.5772	ITGAV
ENSG00000005844	-0.1079905	0.99885	ITGAL
ENSG00000169896	-1.979	0.46347	ITGAM
ENSG00000156886	0.0452	0.90827	ITGAD
ENSG00000083457	0.582	0.10104	ITGAE
ENSG00000197081	0.0539666666667	0.89469	IGF2R
ENSG00000180773	-0.224	0.48126	SLC36A4
ENSG00000268942	0.544	0.10421	CKS1B
ENSG00000123643	-0.315	0.62892	SLC36A1
ENSG00000117407	0.692666666667	0.1723	ARTN
ENSG00000129744	-0.1055	0.95415	ART1
ENSG00000156219	0.0617	0.87297	ART3
ENSG00000167311	0.148	0.65134	ART5
ENSG00000111339	-0.0145	0.69745	ART4
ENSG00000109943	1.83	0.13494	CRTAM
ENSG00000081803	0.158	0.60452	CADPS2
ENSG00000117000	-0.364	0.25906	RLF
ENSG00000170275	0.31882	0.92383	CRTAP
ENSG00000113742	-0.432025	0.81952	CPEB4
ENSG00000214575	-0.157	0.86798	CPEB1
ENSG00000107864	-0.405	0.78262	CPEB3
ENSG00000164764	-0.0412	0.93985	SBSPON
ENSG00000068784	0.369	0.27273	SRBD1
ENSG00000183044	0.62	0.39209	ABAT
ENSG00000212993	0.149	0.73086	POU5F1B
ENSG00000165462	0.206	0.5388	PHOX2A
ENSG00000109132	0.111	0.74041	PHOX2B
ENSG00000110375	0.0892	0.85346	UPK2
ENSG00000000971	0.315	0.38321	CFH
ENSG00000205403	0.0706	0.9344	CFI
ENSG00000197766	0.706	0.10464	CFD
ENSG00000243570	-0.3	0.58623	CFB
ENSG00000126759	0.0308	0.9409	CFP
ENSG00000094914	0.186	0.57537	AAAS
ENSG00000072858	-0.373	0.32206	SIDT1
ENSG00000149577	-0.476	0.23163	SIDT2
ENSG00000103591	0.160666666667	0.76121	AAGAB
ENSG00000154274	0.9335	0.10027	C4orf19
ENSG00000138813	0.0425	0.9331	C4orf17
ENSG00000164163	0.516	0.176	ABCE1
ENSG00000152926	-0.347675	0.97113	ZNF117
ENSG00000178150	0.3615	0.34632	ZNF114
ENSG00000062370	-0.0833	0.89087	ZNF112
ENSG00000100095	-0.174333333333	0.96441	SEZ6L
ENSG00000114302	0.080714	0.98934	PRKAR2A
ENSG00000005249	-0.142	0.64839	PRKAR2B
ENSG00000206432	-0.0555	0.65438	TMEM200C
ENSG00000125910	-0.0255	0.9566	S1PR4
ENSG00000005961	-0.02086	0.9962	ITGA2B
ENSG00000204138	-0.3	0.4753	PHACTR4
ENSG00000112137	0.0774333333333	0.84978	PHACTR1
ENSG00000171133	-0.0285	0.83039	OR2K2
ENSG00000087495	1.21	0.02853	PHACTR3
ENSG00000111581	0.314	0.29107	NUP107
ENSG00000212725	0.0221	0.96602	KRTAP2-1
ENSG00000122674	0.00785	0.98995	CCZ1
ENSG00000164305	0.373	0.25928	CASP3
ENSG00000062716	0.0174	0.97149	VMP1
ENSG00000174738	-0.188	0.71317	NR1D2
ENSG00000060491	-0.1759125	0.99119	OGFR
ENSG00000117425	0.0587	0.88874	PTCH2
ENSG00000185920	0.01782	0.88132	PTCH1
ENSG00000104980	0.314	0.33001	TIMM44
ENSG00000151164	-0.06495	0.96781	RAD9B
ENSG00000172613	-0.361	0.25525	RAD9A
ENSG00000087502	-0.33075	0.62042	ERGIC2
ENSG00000125991	0.0249333333333	0.84455	ERGIC3
ENSG00000113719	0.00365	0.94217	ERGIC1
ENSG00000149541	0.344	0.30373	B3GAT3
ENSG00000112309	-0.1989	0.90895	B3GAT2
ENSG00000109956	0.204	0.53981	B3GAT1
ENSG00000197557	-0.296	0.343	TTC30A
ENSG00000196659	-0.2097	0.81974	TTC30B
ENSG00000198668	-0.61	0.10582	CALM1
ENSG00000073605	-0.159433333333	0.92896	GSDMB
ENSG00000147697	-0.175	0.56814	GSDMC
ENSG00000104518	0.38	0.27072	GSDMD
ENSG00000105668	-2.53	0.01329	UPK1A
ENSG00000114638	0.9855	0.27361	UPK1B
ENSG00000198010	-0.02819	0.99081	DLGAP2
ENSG00000116544	-0.227	0.47905	DLGAP3
ENSG00000170579	-0.0443285714286	0.95194	DLGAP1
ENSG00000269562	-0.247733333333	0.87454	DLGAP4
ENSG00000126787	0.468	0.16302	DLGAP5
ENSG00000111012	0.316	0.45812	CYP27B1
ENSG00000104147	0.494	0.21	OIP5
ENSG00000099364	-0.0968	0.7769	FBXL19
ENSG00000072135	0.0022	0.87798	PTPN18
ENSG00000163629	0.1595	0.67831	PTPN13
ENSG00000127947	0.195933333333	0.88417	PTPN12
ENSG00000179295	-0.0503166666667	0.92434	PTPN11
ENSG00000152104	0.1376	0.96687	PTPN14
ENSG00000145220	0.4455	0.16097	LYAR
ENSG00000159239	-0.135	0.66846	C2orf81
ENSG00000188674	0.0599	0.88031	C2orf80
ENSG00000042304	-0.147	0.65652	C2orf83
ENSG00000182600	-0.20375	0.86917	C2orf82
ENSG00000187699	0.0929501	1.0	C2orf88
ENSG00000007255	-0.542	0.17794	TRAPPC6A
ENSG00000170476	-0.15565	0.9005	MZB1
ENSG00000182400	0.0869	0.87981	TRAPPC6B
ENSG00000231286	-0.0893333333333	0.75907	HLA-DQB1
ENSG00000263639	-1.055	0.03968	MSMB
ENSG00000228254	0.153	0.73676	HLA-DQB2
ENSG00000179772	-0.135	0.76626	FOXS1
ENSG00000187664	-0.168	0.64526	HAPLN4
ENSG00000110931	0.214775	0.88685	CAMKK2
ENSG00000004660	0.15181	0.99244	CAMKK1
ENSG00000165502	0.128	0.73847	RPL36AL
ENSG00000176108	-0.199	0.50542	CHMP6
ENSG00000086065	-0.27	0.49012	CHMP5
ENSG00000228250	-1.5	0.04521	LY6G6C
ENSG00000106031	0.0003	0.94057	HOXA13
ENSG00000235769	0.208	0.53923	LY6G6E
ENSG00000005073	0.05095	0.93114	HOXA11
ENSG00000253293	0.4205	0.56665	HOXA10
ENSG00000106648	0.054	0.89392	GALNTL5
ENSG00000174473	0.0604	0.91938	GALNTL6
ENSG00000182591	0.235	0.59787	KRTAP11-1
ENSG00000139372	-0.165	0.5998	TDG
ENSG00000189159	0.2825	0.41589	HN1
ENSG00000148814	0.06075	0.9433	LRRC27
ENSG00000163507	0.495	0.33531	KIAA1524
ENSG00000162522	-0.0812	0.83833	KIAA1522
ENSG00000129255	-0.23885	0.85593	MPDU1
ENSG00000172731	-0.55	0.13957	LRRC20
ENSG00000125122	-0.19	0.63108	LRRC29
