ENSG_id	logFC	adj_pval	gene
ENSG00000268946	0.173675	0.95887	ATRX
ENSG00000070814	0.2016	0.87641	TCOF1
ENSG00000126653	0.276	0.74786	NSRP1
ENSG00000157837	-0.0471285714286	0.97481	SPPL3
ENSG00000125741	0.296	0.85117	OPA3
ENSG00000198836	-0.2201	0.98766	OPA1
ENSG00000077943	-0.416375	0.84083	ITGA8
ENSG00000144668	-0.033175	0.99256	ITGA9
ENSG00000213949	-0.132	0.87751	ITGA1
ENSG00000164171	-0.246	0.95987	ITGA2
ENSG00000005884	0.168	0.83941	ITGA3
ENSG00000115232	0.309875	0.99185	ITGA4
ENSG00000161638	0.0299	0.95685	ITGA5
ENSG00000091409	1.185	0.74359	ITGA6
ENSG00000135424	-0.21695	0.80036	ITGA7
ENSG00000174417	-0.0242	0.95829	TRHR
ENSG00000176125	0.109	0.87756	UFSP1
ENSG00000109775	0.127	0.753	UFSP2
ENSG00000185614	0.244	0.76737	FAM212A
ENSG00000154080	-0.04705	0.93879	CHST9
ENSG00000124302	-0.0585	0.85765	CHST8
ENSG00000175264	-0.176	0.82023	CHST1
ENSG00000122863	-0.00573333333333	0.95817	CHST3
ENSG00000175040	-0.161	0.74359	CHST2
ENSG00000135702	-0.11325	0.8973	CHST5
ENSG00000140835	-0.0884	0.83815	CHST4
ENSG00000147119	-0.103	0.82908	CHST7
ENSG00000183196	-0.0125	0.98141	CHST6
ENSG00000140678	0.08005	0.97718	ITGAX
ENSG00000140379	0.203	0.83048	BCL2A1
ENSG00000138448	0.0472	0.92059	ITGAV
ENSG00000005844	-0.1241	0.8931	ITGAL
ENSG00000169896	-0.02955	0.8883	ITGAM
ENSG00000156886	0.000575	0.99841	ITGAD
ENSG00000172301	0.202	0.85604	COPRS
ENSG00000197081	0.0998333333333	0.95627	IGF2R
ENSG00000180773	0.1086	0.89394	SLC36A4
ENSG00000268942	0.881	0.74359	CKS1B
ENSG00000123643	0.1324	0.95987	SLC36A1
ENSG00000117407	0.0853666666667	0.98082	ARTN
ENSG00000129744	0.0115333333333	0.96268	ART1
ENSG00000156219	-0.0892	0.82101	ART3
ENSG00000167311	0.0171	0.97645	ART5
