ENSG_id	logFC	adj_pval	gene
ENSG00000160714	-0.43195333	0.99672	UBE2Q1
ENSG00000013561	-0.25326667	0.99672	RNF14
ENSG00000140367	-0.40637	0.99672	UBE2Q2
ENSG00000022840	-0.12565333	0.99672	RNF10
ENSG00000123091	-0.0506375	0.99672	RNF11
ENSG00000082996	-0.10316583	0.99672	RNF13
ENSG00000088320	-0.38144167	0.99672	REM1
ENSG00000139890	-0.1487525	0.99672	REM2
ENSG00000108639	-0.0105775	0.99994	SYNGR2
ENSG00000235376	-0.1574075	0.99672	RPEL1
ENSG00000131068	-0.03649583	0.99939	DEFB118
ENSG00000196814	-0.03406417	0.99672	MVB12B
ENSG00000162623	-0.02891083	0.99772	TYW3
ENSG00000111790	-0.11421917	0.99672	FGFR1OP2
ENSG00000173272	-0.42217667	0.99672	MZT2A
ENSG00000152082	-0.36195417	0.99672	MZT2B
ENSG00000268946	-0.46431042	0.99672	ATRX
ENSG00000140650	-0.34588667	0.99672	PMM2
ENSG00000100417	-0.40351917	0.99672	PMM1
ENSG00000130707	0.36305667	0.99672	ASS1
ENSG00000213190	-0.070185	0.99672	MLLT11
ENSG00000136937	-0.161165	0.99672	NCBP1
ENSG00000196826	-0.1471875	0.99672	ZNF709
ENSG00000182141	-0.33788417	0.99672	ZNF708
ENSG00000234284	-0.221375	0.99672	ZNF879
ENSG00000109182	-0.2758825	0.99672	CWH43
ENSG00000163064	-0.02524667	0.99905	EN1
ENSG00000134072	-0.39283833	0.99672	CAMK1
ENSG00000172301	-0.30613	0.99672	COPRS
ENSG00000196757	-0.25426	0.99672	ZNF700
ENSG00000261516	-0.23880833	0.99672	ZNF707
ENSG00000197261	0.0895925	0.99672	C6orf141
ENSG00000164684	0.0251325	0.99994	ZNF704
ENSG00000135482	-0.33458333	0.99672	ZC3H10
ENSG00000123200	-0.51101833	0.99672	ZC3H13
ENSG00000265491	-0.97210333	0.99672	RNF115
ENSG00000065548	0.06362833	0.99672	ZC3H15
ENSG00000100722	-0.31935	0.99672	ZC3H14
ENSG00000197471	-0.3362275	0.99672	SPN
ENSG00000146151	-0.14483	0.99672	HMGCLL1
ENSG00000158545	-0.23140417	0.99672	ZC3H18
ENSG00000176884	-0.40254917	0.99672	GRIN1
ENSG00000241878	0.04185667	0.99672	PISD
ENSG00000067596	0.07583833	0.99672	DHX8
ENSG00000135829	-0.16915583	0.99672	DHX9
ENSG00000070814	-0.374925	0.99672	TCOF1
ENSG00000126653	-0.38004583	0.99672	NSRP1
ENSG00000110713	-0.3328675	0.99672	NUP98
ENSG00000154767	-0.1664375	0.99672	XPC
ENSG00000185591	-0.44247333	0.99672	SP1
ENSG00000167182	-0.496415	0.99672	SP2
ENSG00000172845	-0.46172167	0.99672	SP3
ENSG00000105866	0.10629583	0.99672	SP4
ENSG00000173805	-0.26668917	0.99672	HAP1
ENSG00000189120	0.00054167	0.99994	SP6
ENSG00000170374	-0.44844417	0.99672	SP7
ENSG00000172769	-0.04554167	0.99711	OR5B3
ENSG00000173905	-0.25583083	0.99672	GOLIM4
ENSG00000106615	-0.131775835	0.99672	RHEB
ENSG00000197562	-0.1954075	0.99672	RAB40C
ENSG00000141542	-0.548975	0.99672	RAB40B
ENSG00000172476	0.06616	0.99672	RAB40A
ENSG00000187026	-0.12619833	0.99672	KRTAP21-2
ENSG00000183807	-0.0874175	0.99672	FAM162B
ENSG00000114270	-0.14104667	0.99672	COL7A1
ENSG00000177558	0.00561	0.99994	FAM187B
ENSG00000075218	-0.60221583	0.99672	GTSE1
ENSG00000186973	0.09119	0.99672	FAM183A
ENSG00000156076	-0.2385525	0.99672	WIF1
ENSG00000140406	-0.17206417	0.99672	MESDC1
ENSG00000115756	-0.15237	0.99672	HPCAL1
ENSG00000198113	-0.24545583	0.99672	TOR4A
ENSG00000226288	-0.06539167	0.99672	OR52I2
ENSG00000138600	-0.184775	0.99672	SPPL2A
