ENSG_id	logFC	adj_pval	gene
ENSG00000268946	0.34305	0.6992711	ATRX
ENSG00000070814	0.195633333333	0.7286424	TCOF1
ENSG00000126653	0.37	0.5188491	NSRP1
ENSG00000157837	0.0581785714286	0.9739023	SPPL3
ENSG00000125741	0.657333333333	0.4533142	OPA3
ENSG00000198836	-0.462	0.8292299	OPA1
ENSG00000077943	-1.7255	0.6161444	ITGA8
ENSG00000144668	-0.0021	0.8389327	ITGA9
ENSG00000213949	-0.390333333333	0.671519	ITGA1
ENSG00000164171	0.30125	0.9438153	ITGA2
ENSG00000005884	0.733	0.5105462	ITGA3
ENSG00000115232	0.273775	0.8756846	ITGA4
ENSG00000161638	0.744	0.4367707	ITGA5
ENSG00000091409	1.995	0.4908932	ITGA6
ENSG00000135424	-0.133	0.8027571	ITGA7
ENSG00000174417	0.0623	0.8236501	TRHR
ENSG00000176125	0.44	0.3413524	UFSP1
ENSG00000109775	0.307	0.450009	UFSP2
ENSG00000185614	0.428	0.3383325	FAM212A
ENSG00000154080	-0.03678	0.9966851	CHST9
ENSG00000124302	0.121	0.6132747	CHST8
ENSG00000175264	-0.0145	0.4776354	CHST1
ENSG00000122863	0.0192333333333	0.9378224	CHST3
ENSG00000175040	-0.22555	0.6600066	CHST2
ENSG00000135702	-0.1885	0.5897553	CHST5
ENSG00000140835	0.25	0.465661	CHST4
ENSG00000147119	0.594	0.4580137	CHST7
ENSG00000183196	0.103	0.7843101	CHST6
ENSG00000140678	-0.14135	0.8573464	ITGAX
ENSG00000140379	0.39	0.850103	BCL2A1
ENSG00000138448	-0.109	0.8767241	ITGAV
ENSG00000005844	-0.10305	0.7663077	ITGAL
ENSG00000169896	0.1435	0.6718119	ITGAM
ENSG00000156886	0.028	0.8728667	ITGAD
ENSG00000172301	0.402	0.5554015	COPRS
ENSG00000197081	0.453533333333	0.7831232	IGF2R
ENSG00000180773	-0.044	0.7140945	SLC36A4
ENSG00000268942	0.743	0.4370961	CKS1B
ENSG00000123643	-0.08255	0.8333418	SLC36A1
ENSG00000179933	0.377	0.3205574	C14orf119
ENSG00000129744	0.0791333333333	0.7025409	ART1
ENSG00000156219	0.23	0.4131416	ART3
ENSG00000167311	0.318	0.4057044	ART5
ENSG00000111339	-0.1435	0.6680698	ART4
ENSG00000109943	-0.0587	0.8444684	CRTAM
ENSG00000081803	-0.0598	0.8050256	CADPS2
ENSG00000117000	0.376	0.4412161	RLF
ENSG00000170275	0.2456	0.5721616	CRTAP
ENSG00000159322	0.3035	0.5583787	ADPGK
ENSG00000113742	0.26955	0.9864076	CPEB4
ENSG00000214575	0.7065	0.6207894	CPEB1
ENSG00000107864	0.08029505	0.9997351	CPEB3
ENSG00000137449	0.694	0.4457604	CPEB2
ENSG00000068784	0.269	0.4277216	SRBD1
ENSG00000183044	-0.237666666667	0.7508943	ABAT
ENSG00000212993	0.0734	0.7710672	POU5F1B
ENSG00000165462	-0.322	0.3893887	PHOX2A
ENSG00000109132	0.138	0.4843335	PHOX2B
ENSG00000110375	-0.0239	0.9413487	UPK2
ENSG00000000971	-0.538	0.43546	CFH
ENSG00000205403	-0.182	0.7761908	CFI
ENSG00000197766	0.488	0.3447354	CFD
ENSG00000243570	-0.0785	0.7551589	CFB
ENSG00000126759	-0.0331	0.8813029	CFP
ENSG00000094914	0.355	0.4127279	AAAS
ENSG00000072858	0.221	0.4792208	SIDT1
ENSG00000149577	-0.235	0.6509459	SIDT2
ENSG00000269820	-0.0958	0.557675	SAGE1
ENSG00000103591	-0.263	0.5789967	AAGAB
ENSG00000154274	-0.0973	0.7769379	C4orf19
ENSG00000138813	0.00331	0.9930396	C4orf17
ENSG00000164163	0.4605	0.5435047	ABCE1
ENSG00000152926	0.0754	0.9732081	ZNF117
ENSG00000178150	0.1108	0.8666741	ZNF114
ENSG00000062370	0.00651	0.987043	ZNF112
ENSG00000100095	0.0674833333333	0.8984184	SEZ6L
ENSG00000114302	0.27202	0.7981379	PRKAR2A
ENSG00000005249	-0.85	0.4501863	PRKAR2B
ENSG00000269639	0.2362	0.7289949	MAGT1
ENSG00000253304	0.431	0.5117767	TMEM200B
ENSG00000005961	-0.04575	0.7869554	ITGA2B
ENSG00000204138	0.88	0.3793935	PHACTR4
ENSG00000169992	0.0603333333333	0.5220703	NLGN2
ENSG00000196338	0.0766	0.8487678	NLGN3
ENSG00000087495	0.0433	0.8734603	PHACTR3
ENSG00000112419	-0.3186	0.6416027	PHACTR2
ENSG00000212725	-0.0346	0.8878153	KRTAP2-1
ENSG00000137757	-0.0532	0.8210305	CASP5
ENSG00000062716	-0.154	0.7655578	VMP1
ENSG00000174738	-0.452	0.7918204	NR1D2
ENSG00000060491	0.525	0.496728	OGFR
ENSG00000117425	-0.0545	0.7455222	PTCH2
ENSG00000185920	-0.0775	0.9168998	PTCH1
ENSG00000104980	0.2329	0.9056984	TIMM44
ENSG00000151164	0.06055	0.9929543	RAD9B
ENSG00000172613	0.79	0.2827867	RAD9A
ENSG00000087502	-0.0202675	0.984753	ERGIC2
ENSG00000125991	-0.0712666666667	0.9510169	ERGIC3
ENSG00000113719	0.2025	0.5832896	ERGIC1
ENSG00000149541	-0.241	0.8100262	B3GAT3
ENSG00000112309	-0.0561	0.8999587	B3GAT2
ENSG00000109956	0.0819	0.8206485	B3GAT1
ENSG00000197557	0.0496	0.8201922	TTC30A
ENSG00000196659	0.291	0.4674518	TTC30B
ENSG00000198668	-0.222	0.4412099	CALM1
ENSG00000073605	0.391	0.7896149	GSDMB
ENSG00000147697	0.279	0.4240386	GSDMC
ENSG00000104518	0.244	0.6368019	GSDMD
ENSG00000161040	0.27	0.5146493	FBXL13
ENSG00000114638	0.0797	0.811488	UPK1B
ENSG00000198010	0.03035	0.8386402	DLGAP2
ENSG00000116544	0.0965	0.788572	DLGAP3
ENSG00000170579	0.0117171428571	0.9958498	DLGAP1
ENSG00000269562	0.111583333333	0.8085102	DLGAP4
ENSG00000126787	1.56	0.4446891	DLGAP5
ENSG00000111012	-0.153	0.566021	CYP27B1
ENSG00000104147	0.815	0.4351966	OIP5
ENSG00000198780	0.0526	0.9261071	FAM169A
ENSG00000072135	0.1788	0.864564	PTPN18
ENSG00000163629	0.16875	0.9069005	PTPN13
ENSG00000127947	0.329666666667	0.8274277	PTPN12
ENSG00000179295	-0.6615	0.8258354	PTPN11
ENSG00000152104	0.547	0.6889083	PTPN14
ENSG00000145220	0.248	0.7725286	LYAR
ENSG00000159239	-0.0358	0.8870313	C2orf81
ENSG00000188674	0.137	0.5110099	C2orf80
ENSG00000042304	-0.0973	0.6337872	C2orf83
